rpm,acc,mA,dir,cmd,enc,err,ms,eff_rpm,stall
240,250,1200,open,5099,5135,36,550,175.1,0
240,250,1200,close,-5152,-5195,-43,516,188.8,0
240,250,1200,open,5159,5189,30,570,170.7,0
240,250,1200,close,-5146,-5184,-38,551,176.4,0
360,250,1200,open,5156,5199,43,452,215.7,0
360,250,1200,close,-5159,-5197,-38,480,203.0,0
360,250,1200,open,5155,5192,37,469,207.6,0
360,250,1200,close,-5154,-5190,-36,485,200.6,0
480,250,1200,open,5153,5192,39,439,221.8,0
480,250,1200,close,-5156,-5204,-48,326,299.3,0
480,250,1200,open,5160,5195,35,448,217.4,0
480,250,1200,close,-5153,-5193,-40,446,218.3,0
240,250,1500,open,5157,5197,40,541,180.1,0
240,250,1500,close,-5157,-5201,-44,511,190.8,0
240,250,1500,open,5159,5192,33,567,171.7,0
240,250,1500,close,-5148,-5189,-41,532,182.9,0
360,250,1500,open,5158,5192,34,475,204.9,0
360,250,1500,close,-5151,-5187,-36,482,201.8,0
360,250,1500,open,5153,5189,36,471,206.6,0
360,250,1500,close,-5154,-5190,-36,485,200.6,0
480,250,1500,open,5153,5190,37,445,218.7,0
480,250,1500,close,-5156,-5191,-35,462,210.7,0
480,250,1500,open,5152,5187,35,447,217.6,0
480,250,1500,close,-5153,-5187,-34,462,210.5,0
