rpm,acc,mA,dir,cmd,enc,err,ms,eff_rpm,stall
40,2,,open,3204,3214,10,1661,36.3,0
40,2,,close,-3203,-3216,-13,1661,36.3,0
40,2,,open,3209,3218,9,1660,36.3,0
40,2,,close,-3200,-3213,-13,1658,36.3,0
40,8,,open,3209,3218,9,1652,36.5,0
40,8,,close,-3199,-3210,-11,1645,36.6,0
40,8,,open,3208,3219,11,1660,36.4,0
40,8,,close,-3201,-3213,-12,1643,36.7,0
40,32,,open,3208,3218,10,1640,36.8,0
40,32,,close,-3199,-3212,-13,1644,36.6,0
40,32,,open,3209,3218,9,1640,36.8,0
40,32,,close,-3198,-3212,-14,1643,36.7,0
40,128,,open,3209,3221,12,1596,37.8,0
40,128,,close,-3202,-3214,-12,1578,38.2,0
40,128,,open,3209,3221,12,1591,38.0,0
40,128,,close,-3201,-3214,-13,1581,38.1,0
80,2,,open,3205,3216,11,1360,44.3,0
80,2,,close,-3202,-3214,-12,1352,44.6,0
80,2,,open,3207,3215,8,1353,44.6,0
80,2,,close,-3194,-3208,-14,1358,44.3,0
80,8,,open,3209,3220,11,1341,45.0,0
80,8,,close,-3200,-3210,-10,1357,44.4,0
80,8,,open,3207,3218,11,1342,45.0,0
80,8,,close,-3200,-3213,-13,1368,44.0,0
80,32,,open,3209,3220,11,1307,46.2,0
80,32,,close,-3200,-3212,-12,1294,46.5,0
80,32,,open,3208,3219,11,1306,46.2,0
80,32,,close,-3201,-3213,-12,1294,46.6,0
80,128,,open,3208,3221,13,1080,55.9,0
80,128,,close,-3202,-3216,-14,1073,56.2,0
80,128,,open,3209,3219,10,1069,56.5,0
80,128,,close,-3199,-3211,-12,1059,56.9,0
120,2,,open,3208,3220,12,1366,44.2,0
120,2,,close,-3201,-3214,-13,1354,44.5,0
120,2,,open,3208,3220,12,1369,44.1,0
120,2,,close,-3200,-3213,-13,1354,44.5,0
120,8,,open,3208,3219,11,1342,45.0,0
120,8,,close,-3199,-3209,-10,1357,44.3,0
120,8,,open,3207,3218,11,1340,45.0,0
120,8,,close,-3199,-3211,-12,1359,44.3,0
120,32,,open,3208,3218,10,1302,46.3,0
120,32,,close,-3198,-3211,-13,1300,46.3,0
120,32,,open,3208,3219,11,1307,46.2,0
120,32,,close,-3199,-3211,-12,1297,46.4,0
120,128,,open,3208,3219,11,1043,57.9,0
120,128,,close,-3199,-3212,-13,1040,57.9,0
120,128,,open,3208,3219,11,1043,57.9,0
120,128,,close,-3199,-3212,-13,1036,58.1,0
180,2,,open,3208,3219,11,1366,44.2,0
180,2,,close,-3199,-3212,-13,1356,44.4,0
180,2,,open,3208,3219,11,1367,44.2,0
180,2,,close,-3199,-3211,-12,1354,44.5,0
180,8,,open,3208,3218,10,1342,45.0,0
180,8,,close,-3198,-3211,-13,1377,43.7,0
180,8,,open,3209,3218,9,1338,45.1,0
180,8,,close,-3197,-3208,-11,1357,44.3,0
180,32,,open,3207,3216,9,1299,46.4,0
180,32,,close,-3196,-3208,-12,1296,46.4,0
180,32,,open,3208,3218,10,1304,46.3,0
180,32,,close,-3198,-3210,-12,1298,46.4,0
180,128,,open,3208,3219,11,1040,58.0,0
180,128,,close,-3199,-3212,-13,1038,58.0,0
180,128,,open,3208,3219,11,1044,57.8,0
180,128,,close,-3200,-3213,-13,1038,58.0,0
240,2,,open,3208,3220,12,1365,44.2,0
240,2,,close,-3199,-3209,-10,1346,44.7,0
240,2,,open,3207,3220,13,1367,44.2,0
240,2,,close,-3202,-3214,-12,1354,44.5,0
240,8,,open,3208,3220,12,1344,44.9,0
240,8,,close,-3200,-3211,-11,1360,44.3,0
240,8,,open,3207,3220,13,1346,44.9,0
240,8,,close,-3201,-3215,-14,1377,43.8,0
240,32,,open,3209,3221,12,1309,46.1,0
240,32,,close,-3200,-3212,-12,1296,46.5,0
240,32,,open,3208,3221,13,1310,46.1,0
240,32,,close,-3201,-3213,-12,1296,46.5,0
240,128,,open,3208,3219,11,1040,58.0,0
240,128,,close,-3199,-3212,-13,1037,58.1,0
240,128,,open,3208,3220,12,1047,57.7,0
240,128,,close,-3203,-3216,-13,1040,58.0,0
