rpm,acc,mA,dir,cmd,enc,err,ms,eff_rpm,stall
480,250,1000,open,5127,5156,29,453,213.4,0
480,250,1000,close,-5147,-5169,-22,329,294.6,0
480,250,1000,open,5131,5174,43,409,237.2,0
480,250,1000,close,-5160,-5190,-30,349,278.8,0
600,250,1000,open,5134,5180,46,330,294.3,0
600,250,1000,close,-5158,-5178,-20,340,285.6,0
600,250,1000,open,5129,5163,34,432,224.1,0
600,250,1000,close,-5151,-5167,-16,332,291.8,0
480,250,1500,open,5127,5158,31,451,214.4,0
480,250,1500,close,-5149,-5186,-37,444,219.0,0
480,250,1500,open,5155,5194,39,426,228.6,0
480,250,1500,close,-5156,-5198,-42,424,229.9,0
600,250,1500,open,5160,5198,38,425,229.3,0
600,250,1500,close,-5156,-5198,-42,426,228.8,0
600,250,1500,open,5159,5200,41,415,234.9,0
600,250,1500,close,-5158,-5200,-42,425,229.4,0
