rpm,acc,mA,dir,cmd,enc,err,ms,eff_rpm,stall
80,192,,open,5144,5152,8,1361,71.0,0
80,192,,close,-5115,-5126,-11,1353,71.0,0
80,192,,open,5124,5134,10,1365,70.5,0
80,192,,close,-5116,-5127,-11,1352,71.1,0
80,240,,open,5124,5143,19,1246,77.4,0
80,240,,close,-5124,-5140,-16,1248,77.2,0
80,240,,open,5127,5141,14,1233,78.2,0
80,240,,close,-5120,-5135,-15,1237,77.8,0
80,250,,open,5127,5147,20,1212,79.6,0
80,250,,close,-5125,-5142,-17,1215,79.4,0
80,250,,open,5127,5147,20,1217,79.3,0
80,250,,close,-5126,-5144,-18,1220,79.1,0
160,192,,open,5128,5138,10,1013,95.1,0
160,192,,close,-5116,-5128,-12,1011,95.1,0
160,192,,open,5124,5131,7,1002,96.0,0
160,192,,close,-5113,-5123,-10,995,96.5,0
160,240,,open,5122,5146,24,712,135.5,0
160,240,,close,-5132,-5151,-19,715,135.1,0
160,240,,open,5128,5151,23,701,137.8,0
160,240,,close,-5129,-5148,-19,713,135.4,0
160,250,,open,5128,5165,37,638,151.8,0
160,250,,close,-5144,-5176,-32,636,152.6,0
160,250,,open,5136,5174,38,641,151.3,0
160,250,,close,-5146,-5180,-34,638,152.2,0
240,192,,open,5139,5149,10,993,97.2,0
240,192,,close,-5115,-5126,-11,1014,94.8,0
240,192,,open,5124,5133,9,1019,94.4,0
240,192,,close,-5114,-5125,-11,1012,95.0,0
240,240,,open,5124,5148,24,568,169.9,0
240,240,,close,-5134,-5156,-22,572,169.0,0
240,240,,open,5130,5153,23,571,169.2,0
240,240,,close,-5130,-5150,-20,569,169.7,0
240,250,,open,5129,5163,34,560,172.9,0
240,250,,close,-5150,-5195,-45,473,205.9,0
240,250,,open,5157,5187,30,571,170.3,0
240,250,,close,-5146,-5189,-43,510,190.8,0
360,192,,open,5158,5167,9,1011,95.8,0
360,192,,close,-5115,-5126,-11,1011,95.1,0
360,192,,open,5123,5132,9,1016,94.7,0
360,192,,close,-5115,-5127,-12,1017,94.5,0
360,240,,open,5125,5148,23,527,183.2,0
360,240,,close,-5132,-5151,-19,529,182.6,0
360,240,,open,5129,5152,23,535,180.6,0
360,240,,close,-5133,-5152,-19,528,183.0,0
360,250,,open,5129,5162,33,477,202.9,0
360,250,,close,-5149,-5188,-39,464,209.6,0
360,250,,open,5156,5201,45,436,223.7,0
360,250,,close,-5161,-5199,-38,465,209.6,0
480,192,,open,5156,5165,9,1003,96.6,0
480,192,,close,-5114,-5125,-11,1015,94.7,0
480,192,,open,5124,5133,9,1018,94.5,0
480,192,,close,-5114,-5125,-11,1015,94.7,0
480,240,,open,5124,5147,23,527,183.1,0
480,240,,close,-5130,-5149,-19,527,183.2,0
480,240,,open,5129,5152,23,531,181.9,0
480,240,,close,-5132,-5150,-18,524,184.3,0
480,250,,open,5128,5160,32,443,218.4,0
480,250,,close,-5149,-5166,-17,328,295.3,0
480,250,,open,5130,5173,43,407,238.3,0
480,250,,close,-5160,-5187,-27,347,280.3,0
