play_ms,cmd_steps,enc_steps,err_steps
24,3212.5,3197,-15.5
62,3262.7,3221,-41.7
115,3363.1,3304,-59.1
163,3413.3,3397,-16.3
215,3538.8,3488,-50.8
265,3589.0,3594,5.0
315,3689.4,3668,-21.4
365,3739.6,3744,4.4
416,3865.1,3827,-38.1
465,3915.3,3930,14.7
515,4015.7,4005,-10.7
564,4040.8,4065,24.2
615,4141.2,4128,-13.2
664,4191.4,4212,20.6
715,4266.7,4265,-1.7
765,4291.8,4328,36.2
817,4367.1,4388,20.9
864,4392.2,4426,33.8
913,4442.4,4471,28.6
964,4442.4,4493,50.6
1018,4467.5,4515,47.5
1070,4467.5,4524,56.5
1118,4467.5,4524,56.5
1166,4467.5,4523,55.5
1220,4442.4,4519,76.6
1268,4392.2,4491,98.8
1318,4367.1,4447,79.9
1368,4316.9,4394,77.1
1417,4266.7,4339,72.3
1468,4166.3,4262,95.7
1518,4116.1,4182,65.9
1572,3990.6,4101,110.4
1621,3940.4,3996,55.6
1668,3789.8,3906,116.2
1719,3714.5,3786,71.5
1776,3563.9,3675,111.1
1818,3488.6,3561,72.4
1875,3312.9,3426,113.1
1917,3212.5,3298,85.5
1975,3036.9,3159,122.1
2025,2961.6,2998,36.4
2079,2785.9,2851,65.1
2125,2710.6,2740,29.4
2181,2534.9,2592,57.1
2227,2459.6,2480,20.4
2281,2334.1,2362,27.9
2327,2258.8,2283,24.2
2379,2133.3,2158,24.7
2428,2083.1,2091,7.9
2480,2007.8,2014,6.2
2527,1982.7,1971,-11.7
2580,1932.5,1932,-0.5
2629,1932.5,1905,-27.5
2679,1932.5,1903,-29.5
2729,1932.5,1903,-29.5
2782,1982.7,1910,-72.7
2831,2032.9,1956,-76.9
2882,2133.3,2042,-91.3
2932,2183.5,2154,-29.5
2982,2309.0,2259,-50.0
3032,2409.4,2371,-38.4
3081,2585.1,2500,-85.1
3131,2660.4,2640,-20.4
3183,2886.3,2781,-105.3
3233,2986.7,2961,-25.7
3283,3212.5,3122,-90.5
3332,3312.9,3294,-18.9
3384,3538.8,3458,-80.8
3433,3639.2,3629,-10.2
3483,3840.0,3780,-60.0
3533,3940.4,3931,-9.4
3582,4116.1,4081,-35.1
3632,4191.4,4193,1.6
3683,4316.9,4304,-12.9
3732,4367.1,4378,10.9
3783,4442.4,4455,12.6
3831,4467.5,4487,19.5
3883,4467.5,4506,38.5
3932,4467.5,4507,39.5
3983,4417.3,4498,80.7
4033,4367.1,4451,83.9
4083,4241.6,4328,86.4
4133,4141.2,4201,59.8
4183,3965.5,4065,99.5
4233,3865.1,3909,43.9
4283,3639.2,3732,92.8
4332,3513.7,3564,50.3
4383,3262.7,3367,104.3
4433,3137.3,3176,38.7
4483,2861.2,2957,95.8
4533,2735.7,2770,34.3
4582,2509.8,2580,70.2
4633,2409.4,2425,15.6
4683,2208.6,2277,68.4
4733,2133.3,2144,10.7
4782,2007.8,2033,25.2
