play_ms,cmd_steps,enc_steps,err_steps
25,3212.5,3202,-10.5
61,3262.7,3209,-53.7
122,3363.1,3284,-79.1
162,3413.3,3383,-30.3
214,3538.8,3470,-68.8
263,3589.0,3577,-12.0
316,3689.4,3660,-29.4
363,3739.6,3729,-10.6
417,3865.1,3804,-61.1
462,3915.3,3915,-0.3
516,4015.7,3992,-23.7
566,4040.8,4054,13.2
617,4141.2,4119,-22.2
667,4216.5,4198,-18.5
716,4266.7,4251,-15.7
767,4342.0,4315,-27.0
822,4367.1,4380,12.9
870,4417.3,4424,6.7
918,4442.4,4457,14.6
969,4467.5,4487,19.5
1019,4467.5,4500,32.5
1070,4467.5,4508,40.5
1120,4467.5,4510,42.5
1168,4467.5,4510,42.5
1223,4442.4,4507,64.6
1270,4392.2,4483,90.8
1320,4367.1,4437,69.9
1369,4316.9,4383,66.1
1418,4266.7,4335,68.3
1469,4166.3,4248,81.7
1519,4116.1,4164,47.9
1569,3990.6,4092,101.4
1622,3940.4,3988,47.6
1669,3789.8,3899,109.2
1719,3714.5,3775,60.5
1769,3563.9,3661,97.1
1820,3488.6,3548,59.4
1869,3312.9,3414,101.1
1919,3212.5,3281,68.5
1970,3036.9,3139,102.1
2024,2961.6,2994,32.4
2071,2785.9,2871,85.1
2121,2710.6,2745,34.4
2174,2534.9,2615,80.1
2221,2459.6,2488,28.4
2278,2334.1,2373,38.9
2329,2258.8,2294,35.2
2375,2133.3,2171,37.7
2423,2083.1,2087,3.9
2477,2007.8,2011,3.2
2521,1982.7,1970,-12.7
2575,1932.5,1924,-8.5
2623,1932.5,1894,-38.5
2672,1932.5,1886,-46.5
2721,1932.5,1885,-47.5
2777,1982.7,1889,-93.7
2825,2032.9,1927,-105.9
2871,2133.3,2002,-131.3
2920,2183.5,2114,-69.5
2977,2309.0,2214,-95.0
3021,2409.4,2318,-91.4
3077,2585.1,2452,-133.1
3120,2660.4,2589,-71.4
3174,2886.3,2721,-165.3
3224,2986.7,2913,-73.7
3270,3212.5,3056,-156.5
3321,3312.9,3236,-76.9
3375,3538.8,3389,-149.8
3420,3639.2,3569,-70.2
3470,3840.0,3723,-117.0
3521,3940.4,3875,-65.4
3575,4116.1,4026,-90.1
3624,4191.4,4145,-46.4
3674,4316.9,4258,-58.9
3721,4367.1,4343,-24.1
3775,4442.4,4423,-19.4
3821,4467.5,4464,-3.5
3870,4467.5,4487,19.5
3920,4467.5,4488,20.5
3974,4417.3,4484,66.7
4024,4367.1,4448,80.9
4071,4241.6,4339,97.4
4121,4141.2,4220,78.8
4169,3965.5,4080,114.5
4221,3865.1,3929,63.9
4278,3639.2,3758,118.8
4321,3513.7,3587,73.3
4375,3262.7,3397,134.3
4424,3137.3,3191,53.7
4476,2861.2,2990,128.8
4530,2735.7,2758,22.3
4576,2509.8,2602,92.2
4622,2409.4,2439,29.6
4678,2208.6,2294,85.4
4722,2133.3,2142,8.7
4778,2007.8,2034,26.2
4825,1957.6,1942,-15.6
4877,1932.5,1888,-44.5
4924,1932.5,1872,-60.5
4978,1982.7,1872,-110.7
5025,2007.8,1900,-107.8
5078,2158.4,2000,-158.4
5125,2233.7,2138,-95.7
5180,2459.6,2286,-173.6
5226,2585.1,2484,-101.1
5283,2836.1,2705,-131.1
5329,2986.7,2892,-94.7
5381,3287.8,3139,-148.8
5430,3413.3,3349,-64.3
5483,3714.5,3576,-138.5
5533,3840.0,3792,-48.0
5585,4091.0,3987,-104.0
5634,4266.7,4154,-112.7
5685,4342.0,4280,-62.0
5734,4442.4,4390,-52.4
5784,4467.5,4452,-15.5
5835,4467.5,4480,12.5
5884,4442.4,4481,38.6
5935,4316.9,4447,130.1
5984,4241.6,4326,84.4
6034,4015.7,4174,158.3
6084,3890.2,3983,92.8
6134,3589.0,3772,183.0
6184,3438.4,3537,98.6
6235,3112.2,3307,194.8
6286,2961.6,3049,87.4
6335,2660.4,2821,160.6
6384,2509.8,2595,85.2
6434,2258.8,2376,117.2
6485,2158.4,2192,33.6
6534,2007.8,2045,37.2
6585,1957.6,1949,-8.6
6634,1932.5,1890,-42.5
6685,1932.5,1870,-62.5
6735,2032.9,1879,-153.9
6785,2133.3,1965,-168.3
6835,2359.2,2145,-214.2
6884,2484.7,2346,-138.7
6935,2785.9,2564,-221.9
6985,2961.6,2798,-163.6
7035,3312.9,3069,-243.9
7085,3488.6,3337,-151.6
7134,3814.9,3605,-209.9
7185,3965.5,3848,-117.5
7235,4216.5,4071,-145.5
7285,4316.9,4243,-73.9
7335,4442.4,4373,-69.4
7384,4467.5,4454,-13.5
7435,4442.4,4482,39.6
7484,4392.2,4472,79.8
