play_ms,cmd_steps,enc_steps,err_steps
25,4467.5,4479,11.5
63,4467.5,4472,4.5
112,4467.5,4468,0.5
162,4467.5,4466,-1.5
212,4467.5,4464,-3.5
262,4467.5,4463,-4.5
313,4467.5,4463,-4.5
364,4467.5,4463,-4.5
418,4467.5,4463,-4.5
465,4467.5,4463,-4.5
517,4467.5,4463,-4.5
566,4467.5,4463,-4.5
616,4467.5,4463,-4.5
664,4467.5,4463,-4.5
716,4467.5,4463,-4.5
765,4467.5,4463,-4.5
820,4467.5,4463,-4.5
867,4467.5,4463,-4.5
916,4467.5,4463,-4.5
966,4467.5,4463,-4.5
1017,1907.5,4341,2433.5
1067,1907.5,3224,1316.5
1121,1907.5,2156,248.5
1169,1907.5,1857,-50.5
1221,1907.5,1844,-63.5
1271,1907.5,1842,-65.5
1321,1907.5,1842,-65.5
1371,1907.5,1843,-64.5
1421,1907.5,1844,-63.5
1471,1907.5,1844,-63.5
1521,1907.5,1845,-62.5
1571,1907.5,1846,-61.5
1621,1907.5,1848,-59.5
1672,1907.5,1849,-58.5
1721,1907.5,1850,-57.5
1771,1907.5,1850,-57.5
1821,1907.5,1851,-56.5
1871,1907.5,1851,-56.5
1921,1907.5,1852,-55.5
1971,1907.5,1852,-55.5
2025,4467.5,2091,-2376.5
2076,4467.5,3223,-1244.5
2121,4467.5,4251,-216.5
2174,4467.5,4458,-9.5
2222,4467.5,4465,-2.5
2274,4467.5,4464,-3.5
2322,4467.5,4461,-6.5
2372,4467.5,4456,-11.5
2424,4467.5,4453,-14.5
2474,4467.5,4450,-17.5
2523,4467.5,4448,-19.5
2574,4467.5,4446,-21.5
2624,4467.5,4445,-22.5
2675,4467.5,4444,-23.5
2726,4467.5,4444,-23.5
2776,4467.5,4444,-23.5
2825,4467.5,4444,-23.5
2873,4467.5,4444,-23.5
2925,4467.5,4444,-23.5
2975,4467.5,4444,-23.5
3024,1907.5,4153,2245.5
3081,1907.5,3003,1095.5
3128,1907.5,2070,162.5
3179,1907.5,1875,-32.5
3229,1907.5,1861,-46.5
3279,1907.5,1860,-47.5
3329,1907.5,1861,-46.5
3378,1907.5,1861,-46.5
3429,1907.5,1862,-45.5
3479,1907.5,1863,-44.5
3529,1907.5,1864,-43.5
3579,1907.5,1865,-42.5
3628,1907.5,1866,-41.5
3679,1907.5,1868,-39.5
3729,1907.5,1869,-38.5
3779,1907.5,1869,-38.5
3829,1907.5,1870,-37.5
3878,1907.5,1870,-37.5
3929,1907.5,1870,-37.5
3979,1907.5,1871,-36.5
4028,4467.5,2250,-2217.5
4081,4467.5,3446,-1021.5
4128,4467.5,4314,-153.5
4179,4467.5,4462,-5.5
4228,4467.5,4466,-1.5
4279,4467.5,4465,-2.5
4328,4467.5,4461,-6.5
4377,4467.5,4456,-11.5
4428,4467.5,4452,-15.5
4478,4467.5,4450,-17.5
4528,4467.5,4447,-20.5
4579,4467.5,4446,-21.5
4628,4467.5,4445,-22.5
4680,4467.5,4444,-23.5
4728,4467.5,4444,-23.5
4779,4467.5,4444,-23.5
4828,4467.5,4444,-23.5
4877,4467.5,4444,-23.5
4929,4467.5,4444,-23.5
4979,4467.5,4444,-23.5
5029,1907.5,4069,2161.5
5081,1907.5,2981,1073.5
5131,1907.5,2065,157.5
5179,1907.5,1902,-5.5
5229,1907.5,1880,-27.5
5280,1907.5,1876,-31.5
5329,1907.5,1876,-31.5
5381,1907.5,1877,-30.5
5431,1907.5,1878,-29.5
5481,1907.5,1880,-27.5
5531,1907.5,1883,-24.5
5580,1907.5,1886,-21.5
5631,1907.5,1888,-19.5
5681,1907.5,1889,-18.5
5732,1907.5,1889,-18.5
5781,1907.5,1890,-17.5
5830,1907.5,1890,-17.5
5881,1907.5,1890,-17.5
5931,1907.5,1890,-17.5
5981,1907.5,1890,-17.5
6031,4467.5,2332,-2135.5
6082,4467.5,3479,-988.5
6133,4467.5,4368,-99.5
6183,4467.5,4482,14.5
6233,4467.5,4483,15.5
6283,4467.5,4481,13.5
6332,4467.5,4479,11.5
6383,4467.5,4475,7.5
6433,4467.5,4471,3.5
6483,4467.5,4468,0.5
6532,4467.5,4465,-2.5
6581,4467.5,4463,-4.5
6632,4467.5,4462,-5.5
6684,4467.5,4462,-5.5
6733,4467.5,4462,-5.5
6784,4467.5,4462,-5.5
6831,4467.5,4462,-5.5
6882,4467.5,4462,-5.5
6932,4467.5,4462,-5.5
6982,4467.5,4462,-5.5
7033,1907.5,4028,2120.5
7083,1907.5,2973,1065.5
7132,1907.5,2072,164.5
7184,1907.5,1919,11.5
7233,1907.5,1905,-2.5
7284,1907.5,1897,-10.5
7332,1907.5,1897,-10.5
7382,1907.5,1897,-10.5
7433,1907.5,1898,-9.5
7483,1907.5,1899,-8.5
7533,1907.5,1901,-6.5
7582,1907.5,1904,-3.5
7633,1907.5,1906,-1.5
7683,1907.5,1908,0.5
7733,1907.5,1908,0.5
7783,1907.5,1909,1.5
7832,1907.5,1909,1.5
7883,1907.5,1909,1.5
7933,1907.5,1909,1.5
7983,1907.5,1909,1.5
8033,4467.5,2399,-2068.5
8083,4467.5,3516,-951.5
8134,4467.5,4389,-78.5
8184,4467.5,4495,27.5
8234,4467.5,4498,30.5
8284,4467.5,4497,29.5
8333,4467.5,4495,27.5
8384,4467.5,4492,24.5
8433,4467.5,4489,21.5
8484,4467.5,4487,19.5
8533,4467.5,4485,17.5
8583,4467.5,4484,16.5
8634,4467.5,4483,15.5
8685,4467.5,4483,15.5
8733,4467.5,4482,14.5
8784,4467.5,4482,14.5
8833,4467.5,4482,14.5
8885,4467.5,4482,14.5
8933,4467.5,4482,14.5
8983,4467.5,4482,14.5
9034,1907.5,4031,2123.5
9082,1907.5,2999,1091.5
9134,1907.5,2088,180.5
9183,1907.5,1952,44.5
9233,1907.5,1932,24.5
9283,1907.5,1929,21.5
9333,1907.5,1929,21.5
9384,1907.5,1930,22.5
9434,1907.5,1931,23.5
9484,1907.5,1932,24.5
9534,1907.5,1933,25.5
9583,1907.5,1935,27.5
9634,1907.5,1937,29.5
9684,1907.5,1938,30.5
9734,1907.5,1939,31.5
9784,1907.5,1940,32.5
9833,1907.5,1940,32.5
9884,1907.5,1941,33.5
9934,1907.5,1941,33.5
9984,1907.5,1941,33.5
10034,4467.5,2447,-2020.5
10083,4467.5,3545,-922.5
10134,4467.5,4420,-47.5
10184,4467.5,4529,61.5
10234,4467.5,4532,64.5
10284,4467.5,4531,63.5
10333,4467.5,4528,60.5
10384,4467.5,4524,56.5
10434,4467.5,4519,51.5
10484,4467.5,4516,48.5
10534,4467.5,4515,47.5
10583,4467.5,4514,46.5
10633,4467.5,4513,45.5
10683,4467.5,4513,45.5
10734,4467.5,4512,44.5
10784,4467.5,4512,44.5
10832,4467.5,4512,44.5
10884,4467.5,4512,44.5
10933,4467.5,4512,44.5
10983,4467.5,4512,44.5
11034,1907.5,4042,2134.5
11082,1907.5,3031,1123.5
11133,1907.5,2116,208.5
11184,1907.5,1973,65.5
11234,1907.5,1952,44.5
11285,1907.5,1948,40.5
11333,1907.5,1948,40.5
11384,1907.5,1948,40.5
11433,1907.5,1949,41.5
11484,1907.5,1950,42.5
11535,1907.5,1951,43.5
11584,1907.5,1953,45.5
11634,1907.5,1954,46.5
11684,1907.5,1956,48.5
11735,1907.5,1957,49.5
11783,1907.5,1957,49.5
11832,1907.5,1958,50.5
11883,1907.5,1958,50.5
11934,1907.5,1958,50.5
11984,1907.5,1959,51.5
12034,4467.5,2471,-1996.5
12082,4467.5,3560,-907.5
12134,4467.5,4433,-34.5
12184,4467.5,4546,78.5
12234,4467.5,4548,80.5
12283,4467.5,4547,79.5
12333,4467.5,4545,77.5
12384,4467.5,4543,75.5
12434,4467.5,4541,73.5
12484,4467.5,4538,70.5
12534,4467.5,4535,67.5
12583,4467.5,4533,65.5
12634,4467.5,4532,64.5
12684,4467.5,4531,63.5
12734,4467.5,4531,63.5
12784,4467.5,4531,63.5
12833,4467.5,4531,63.5
12884,4467.5,4531,63.5
12934,4467.5,4531,63.5
12984,4467.5,4531,63.5
13033,1907.5,4082,2174.5
13083,1907.5,3031,1123.5
13134,1907.5,2129,221.5
13184,1907.5,1987,79.5
13234,1907.5,1975,67.5
13284,1907.5,1970,62.5
13333,1907.5,1970,62.5
13383,1907.5,1970,62.5
13434,1907.5,1970,62.5
13485,1907.5,1971,63.5
13535,1907.5,1971,63.5
13584,1907.5,1972,64.5
13633,1907.5,1973,65.5
13683,1907.5,1975,67.5
13734,1907.5,1976,68.5
13784,1907.5,1976,68.5
13832,1907.5,1977,69.5
13884,1907.5,1978,70.5
13934,1907.5,1978,70.5
13985,1907.5,1978,70.5
14034,4467.5,2464,-2003.5
14083,4467.5,3562,-905.5
14134,4467.5,4428,-39.5
14184,4467.5,4537,69.5
14233,4467.5,4539,71.5
14284,4467.5,4538,70.5
14333,4467.5,4534,66.5
14384,4467.5,4530,62.5
14434,4467.5,4526,58.5
14484,4467.5,4521,53.5
14534,4467.5,4519,51.5
14584,4467.5,4518,50.5
14634,4467.5,4517,49.5
14684,4467.5,4517,49.5
14734,4467.5,4517,49.5
14784,4467.5,4517,49.5
14833,4467.5,4517,49.5
14884,4467.5,4517,49.5
14934,4467.5,4517,49.5
14984,4467.5,4518,50.5
15034,1907.5,4053,2145.5
15083,1907.5,3021,1113.5
15134,1907.5,2109,201.5
15184,1907.5,1962,54.5
15234,1907.5,1938,30.5
15284,1907.5,1934,26.5
15333,1907.5,1934,26.5
15384,1907.5,1935,27.5
15434,1907.5,1936,28.5
15484,1907.5,1937,29.5
15533,1907.5,1938,30.5
15583,1907.5,1940,32.5
15634,1907.5,1941,33.5
15684,1907.5,1943,35.5
15734,1907.5,1944,36.5
15785,1907.5,1945,37.5
15832,1907.5,1946,38.5
15884,1907.5,1946,38.5
15933,1907.5,1946,38.5
15984,1907.5,1946,38.5
16033,4467.5,2432,-2035.5
16082,4467.5,3529,-938.5
16135,4467.5,4428,-39.5
16185,4467.5,4535,67.5
16235,4467.5,4538,70.5
16285,4467.5,4538,70.5
16333,4467.5,4535,67.5
16386,4467.5,4531,63.5
16435,4467.5,4528,60.5
16485,4467.5,4523,55.5
16535,4467.5,4520,52.5
16585,4467.5,4519,51.5
16634,4467.5,4518,50.5
16684,4467.5,4518,50.5
16735,4467.5,4518,50.5
16785,4467.5,4518,50.5
16833,4467.5,4518,50.5
16885,4467.5,4518,50.5
16935,4467.5,4518,50.5
16985,4467.5,4518,50.5
17035,1907.5,4031,2123.5
17083,1907.5,2996,1088.5
17135,1907.5,2100,192.5
17185,1907.5,1959,51.5
17235,1907.5,1938,30.5
17285,1907.5,1935,27.5
17334,1907.5,1935,27.5
17385,1907.5,1935,27.5
17435,1907.5,1936,28.5
17485,1907.5,1937,29.5
17535,1907.5,1938,30.5
17584,1907.5,1940,32.5
17635,1907.5,1941,33.5
17685,1907.5,1943,35.5
17735,1907.5,1944,36.5
17785,1907.5,1945,37.5
