play_ms,cmd_steps,enc_steps,err_steps
26,3212.5,3197,-15.5
64,3513.7,3343,-170.7
114,4116.1,3837,-279.1
166,4442.4,4336,-106.4
216,5019.6,4790,-229.6
266,5270.6,5215,-55.6
316,5722.4,5585,-137.4
365,5872.9,5853,-19.9
422,6073.7,6047,-26.7
469,6023.5,6103,79.5
519,5923.1,6068,144.9
568,5521.6,5844,322.4
619,5245.5,5479,233.5
668,4492.5,5002,509.5
719,4065.9,4386,320.1
769,3087.1,3696,608.9
822,2610.2,2888,277.8
876,1656.5,2177,520.5
920,1254.9,1489,234.1
970,602.4,924,321.6
1020,426.7,496,69.3
1068,351.4,307,-44.4
1120,476.9,304,-172.9
1169,1054.1,581,-473.1
1223,1505.9,1135,-370.9
1270,2610.2,1897,-713.2
1320,3237.6,2783,-454.6
1378,4467.5,3768,-699.5
1421,5019.6,4670,-349.6
1475,5822.7,5424,-398.7
1521,6023.5,5931,-92.5
1574,5973.3,6103,129.7
1624,5697.3,5929,231.7
1670,4718.4,5394,675.6
1720,4065.9,4546,480.1
1774,2585.1,3481,895.9
1820,1882.4,2345,462.6
1871,778.0,1327,549.0
1921,451.8,592,140.2
1977,401.6,270,-131.6
2025,702.7,443,-259.7
2078,1857.3,1058,-799.3
2123,2635.3,2114,-521.3
2177,4291.8,3363,-928.8
2222,5019.6,4577,-442.6
2279,5948.2,5575,-373.2
2322,6073.7,6068,-5.7
2373,5521.6,6035,513.4
2424,4894.1,5380,485.9
2480,3187.5,4214,1026.5
2524,2283.9,2838,554.1
2580,803.1,1440,636.9
2628,426.7,575,148.3
2681,552.2,339,-213.2
2727,1079.2,801,-278.2
2780,2811.0,1921,-890.0
2827,3789.8,3404,-385.8
2882,5471.4,4953,-518.4
2928,5948.2,5884,-64.2
2982,5822.7,6197,374.3
3028,5245.5,5676,430.5
3082,3338.0,4317,979.0
3132,2283.9,2718,434.1
3184,652.5,1189,536.5
3233,326.3,415,88.7
3283,928.6,476,-452.6
3333,1782.0,1507,-275.0
3390,3990.6,3337,-653.6
3436,5747.5,4848,-899.5
3485,6073.7,5991,-82.7
3536,5320.8,6138,817.2
3586,4367.1,5268,900.9
3636,2032.9,3632,1599.1
3686,1054.1,1880,825.9
3735,351.4,646,294.6
3787,752.9,426,-326.9
3836,2811.0,1428,-1383.0
3886,4065.9,3183,-882.9
3936,5872.9,4961,-911.9
3984,6073.7,6075,1.3
4035,4818.8,5968,1149.2
4085,3589.0,4706,1117.0
4136,1154.5,2712,1557.5
4186,451.8,1048,596.2
4235,878.4,400,-478.4
4288,1907.5,1166,-741.5
4336,4567.8,2970,-1597.8
4386,5596.9,4927,-669.9
4436,5872.9,6092,219.1
4485,5044.7,5845,800.3
4536,2334.1,4168,1833.9
4586,1129.4,2100,970.6
4641,401.6,616,214.4
4687,1104.3,620,-484.3
4735,3814.9,2097,-1717.9
4787,5120.0,4281,-839.0
4841,6023.5,5885,-138.5
4887,5320.8,6025,704.2
4941,2534.9,4481,1946.1
4986,1204.7,2249,1044.3
5043,426.7,602,175.3
5086,1254.9,667,-587.9
5136,4191.4,2412,-1779.4
5187,5471.4,4657,-814.4
5239,5797.6,6095,297.4
5287,4718.4,5629,910.6
5337,1606.3,3638,2031.7
5387,577.3,1302,724.7
5441,1054.1,365,-689.1
5486,2459.6,1388,-1071.6
5541,5471.4,3854,-1617.4
5587,6073.7,5759,-314.7
5641,4467.5,5929,1461.5
5687,2785.9,4131,1345.1
5740,401.6,1674,1272.4
5787,527.1,362,-165.1
5844,3312.9,1371,-1941.9
5887,4944.3,3842,-1102.3
5936,5923.1,5778,-145.1
5986,4894.1,5814,919.9
6041,1505.9,3847,2341.1
6087,451.8,1362,910.2
6137,1556.1,506,-1050.1
6188,3312.9,1930,-1382.9
6239,5998.4,4640,-1358.4
6288,5847.8,6049,201.2
6336,2785.9,4968,2182.1
6388,1129.4,2612,1482.6
6437,752.9,586,-166.9
6486,2233.7,918,-1315.7
6541,5622.0,3556,-2066.0
6587,6073.7,5755,-318.7
6636,3488.6,5406,1917.4
6686,1606.3,3310,1703.7
6740,527.1,799,271.9
6788,1857.3,825,-1032.3
6837,5471.4,3160,-2311.4
6887,6073.7,5747,-326.7
6936,3538.8,5608,2069.2
6986,1581.2,3573,1991.8
7043,602.4,1018,415.6
7087,2083.1,1035,-1048.1
7137,5697.3,3641,-2056.3
7187,6023.5,6099,75.5
7240,2886.3,5453,2566.7
7287,1054.1,3142,2087.9
7341,1104.3,951,-153.3
7386,3011.8,1602,-1409.8
7443,6048.6,4506,-1542.6
7486,5546.7,6174,627.3
7541,1656.5,4688,3031.5
7587,401.6,2094,1692.4
7643,2409.4,873,-1536.4
7687,4567.8,3069,-1498.8
7742,5747.5,5889,141.5
7787,4091.0,5659,1568.0
7841,451.8,3225,2773.2
7886,652.5,1065,412.5
7942,4567.8,2054,-2513.8
7985,5973.3,4982,-991.3
8041,3890.2,6067,2176.8
8086,1656.5,4139,2482.5
8137,853.3,1549,695.7
8187,2811.0,1271,-1540.0
8235,6073.7,4010,-2063.7
8288,5295.7,5968,672.3
8340,1054.1,4339,3284.9
8387,326.3,1845,1518.7
8440,3814.9,1397,-2417.9
8486,5697.3,3918,-1779.3
8541,4316.9,5959,1642.1
8586,1932.5,4199,2266.5
8636,803.1,1593,789.9
8687,2861.2,1115,-1746.2
8742,6073.7,3869,-2204.7
8787,4969.4,5641,671.6
8844,652.5,3699,3046.5
8887,527.1,1380,852.9
8937,4793.7,1838,-2955.7
8986,6073.7,4671,-1402.7
9043,2886.3,5336,2449.7
9087,778.0,3128,2350.0
9144,2233.7,1211,-1022.7
9187,4718.4,2589,-2129.4
9240,5195.3,5416,220.7
9287,2785.9,4726,1940.1
9344,552.2,2204,1651.8
9387,2509.8,1394,-1115.8
9440,6073.7,3829,-2244.7
9485,4843.9,5644,800.1
9543,451.8,3453,3001.2
9587,878.4,1332,453.6
9641,5521.6,2328,-3193.6
9687,5923.1,5000,-923.1
9735,1455.7,4733,3277.3
9787,326.3,2069,1742.7
9841,4291.8,1442,-2849.8
9887,5998.4,4029,-1969.4
9941,2785.9,5814,3028.1
9986,602.4,3967,3364.6
10041,3011.8,2206,-805.8
10088,5471.4,4122,-1349.4
10141,3940.4,6205,2264.6
10188,1280.0,4417,3137.0
10235,2032.9,2032,-0.9
10287,4793.7,2887,-1906.7
10336,4718.4,5665,946.6
10387,1932.5,4815,2882.5
10443,1430.6,2203,772.4
10485,4191.4,2414,-1777.4
10541,5145.1,5241,95.9
10586,2409.4,5250,2840.6
10637,1129.4,2739,1609.6
10687,3865.1,2366,-1499.1
10740,5320.8,5064,-256.8
10787,2585.1,5154,2568.9
10843,1054.1,2659,1604.9
10887,3814.9,2506,-1308.9
10942,5295.7,5244,-51.7
10986,2509.8,5095,2585.2
11043,1204.7,2567,1362.3
11087,4065.9,2576,-1489.9
11141,5044.7,5338,293.3
11187,2108.2,4869,2760.8
11235,1581.2,2410,828.8
11287,4567.8,2394,-2173.8
11341,4492.5,5163,670.5
11386,1505.9,3972,2466.1
11442,2309.0,1310,-999.0
11486,5245.5,2587,-2658.5
11543,3589.0,4980,1391.0
11586,803.1,3502,2698.9
11636,3413.3,1683,-1730.3
11687,5872.9,3303,-2569.9
11740,2334.1,4840,2505.9
11787,351.4,2780,2428.6
11836,4718.4,1809,-2909.4
11887,6048.6,4018,-2030.6
11941,1054.1,4248,3193.9
11986,577.3,1810,1232.7
12036,577.3,694,116.7
12087,577.3,97,-480.3
12137,577.3,-85,-662.3
