play_ms,cmd_steps,enc_steps,err_steps
27,3814.9,3212,-602.9
48,2836.1,3500,663.9
70,3388.2,3333,-55.2
99,3714.5,2912,-802.5
110,2685.5,3630,944.5
137,3011.8,3340,328.2
163,3563.9,3284,-279.9
182,2585.1,4255,1669.9
206,3187.5,3771,583.5
239,3388.2,4347,958.8
259,2560.0,4749,2189.0
291,3714.5,3761,46.5
313,2685.5,4721,2035.5
333,3011.8,4857,1845.2
358,3840.0,4197,357.0
378,3011.8,5185,2173.2
404,3187.5,4735,1547.5
430,3388.2,3932,543.8
456,2560.0,4633,2073.0
478,3388.2,4066,677.8
500,3212.5,4388,1175.5
522,2585.1,5196,2610.9
545,3563.9,4302,738.1
567,3563.9,4065,501.1
587,2585.1,4606,2020.9
609,3187.5,3643,455.5
634,3388.2,3788,399.8
658,2560.0,4768,2208.0
680,3814.9,4156,341.1
705,3187.5,4584,1396.5
727,2585.1,5308,2722.9
749,3563.9,4494,930.1
771,3011.8,5108,2096.2
794,2685.5,5604,2918.5
818,3714.5,4621,906.5
843,2836.1,5198,2361.9
872,3388.2,5287,1898.8
891,3714.5,4470,755.5
914,2685.5,5239,2553.5
936,3011.8,4946,1934.2
958,3840.0,4374,534.0
978,3011.8,5337,2325.2
1008,3187.5,4460,1272.5
1037,3388.2,4979,1590.8
1062,2836.1,5056,2219.9
1083,3814.9,4025,210.1
1107,3212.5,4504,1291.5
1128,2585.1,4425,1839.9
1149,3563.9,3558,-5.9
1176,3011.8,4287,1275.2
1198,2685.5,4756,2070.5
1218,3714.5,4106,391.5
1261,2836.1,5315,2478.9
1287,3814.9,4702,887.1
1308,3212.5,4946,1733.5
1333,3011.8,4943,1931.2
1358,3840.0,4443,603.0
1383,2585.1,5508,2922.9
1404,3212.5,5206,1993.5
1428,3814.9,4412,597.1
1455,2560.0,5227,2667.0
1470,3388.2,4763,1374.8
1499,3714.5,4338,623.5
1514,2685.5,5077,2391.5
1539,3011.8,4291,1279.2
1559,3840.0,3904,64.0
1589,2585.1,4994,2408.9
1613,3714.5,3933,218.5
1636,3388.2,3971,582.8
1663,2836.1,4500,1663.9
1687,3814.9,3471,-343.9
1711,2685.5,4070,1384.5
1731,3011.8,3978,966.2
1761,3563.9,3147,-416.9
1793,2685.5,4138,1452.5
1815,3714.5,3181,-533.5
1837,3388.2,3505,116.8
1857,2560.0,3675,1115.0
1888,3814.9,2717,-1097.9
1913,2685.5,3847,1161.5
1936,3011.8,3809,797.2
1959,3840.0,2859,-981.0
1978,3011.8,3688,676.2
2008,3187.5,3031,-156.5
2334,3011.8,2742,-269.8
2364,3563.9,2963,-600.9
2379,3011.8,3802,790.2
2399,2685.5,3400,714.5
2429,3814.9,2833,-981.9
2465,2836.1,3685,848.9
2795,2685.5,3935,1249.5
2814,3714.5,2880,-834.5
2837,3388.2,3773,384.8
2865,2836.1,3902,1065.9
2889,3814.9,2908,-906.9
2913,2685.5,3704,1018.5
2935,3011.8,3672,660.2
2957,3840.0,3175,-665.0
2981,2585.1,4092,1506.9
3004,3187.5,3775,587.5
3023,3814.9,2910,-904.9
3049,2836.1,3715,878.9
3071,3388.2,3107,-281.2
3093,3714.5,2588,-1126.5
3117,2685.5,3594,908.5
3139,3011.8,3546,534.2
3162,3563.9,3267,-296.9
3183,2585.1,4246,1660.9
3204,3187.5,4060,872.5
3227,3814.9,4064,249.1
3260,2836.1,4904,2067.9
3282,3814.9,3803,-11.9
3304,3187.5,4168,980.5
3328,2585.1,4967,2381.9
3349,3563.9,4460,896.1
3372,3011.8,5090,2078.2
3393,2685.5,5433,2747.5
3416,3714.5,4725,1010.5
3438,3388.2,5194,1805.8
3472,3388.2,5340,1951.8
3483,3814.9,4839,1024.1
3506,3187.5,5464,2276.5
3533,3011.8,5867,2855.2
3552,3840.0,5109,1269.0
3575,3011.8,5716,2704.2
3596,2685.5,6231,3545.5
3616,3714.5,5548,1833.5
3641,2836.1,6385,3548.9
3663,2836.1,6740,3903.9
3688,3814.9,5563,1748.1
3719,2685.5,6058,3372.5
3742,3563.9,6063,2499.1
4054,2560.0,6202,3642.0
4080,3814.9,5002,1187.1
4104,3212.5,5510,2297.5
4133,3011.8,6296,3284.2
4147,3563.9,5713,2149.1
4169,3563.9,6533,2969.1
4191,2685.5,6905,4219.5
4214,3714.5,5971,2256.5
4244,2836.1,6227,3390.9
4266,2836.1,6351,3514.9
4289,3814.9,5965,2150.1
4317,2685.5,6900,4214.5
4341,3563.9,6142,2578.1
4363,3563.9,6077,2513.1
4388,2585.1,6788,4202.9
4408,3187.5,5987,2799.5
4436,3388.2,6093,2704.8
4460,2836.1,6457,3620.9
4488,3814.9,5391,1576.1
4513,2685.5,5992,3306.5
4541,3563.9,6003,2439.1
4559,3840.0,5867,2027.0
4580,2585.1,6868,4282.9
4605,3187.5,6486,3298.5
4627,3814.9,5807,1992.1
4646,2836.1,6562,3725.9
4680,3814.9,5701,1886.1
4702,3212.5,6454,3241.5
4725,2585.1,6990,4404.9
4749,3563.9,6194,2630.1
4768,3563.9,6679,3115.1
4801,3187.5,6728,3540.5
4823,3814.9,5913,2098.1
4846,2836.1,6820,3983.9
4865,2836.1,6694,3857.9
4893,3714.5,6164,2449.5
4915,2685.5,7268,4582.5
4941,3563.9,6882,3318.1
4964,3563.9,6715,3151.1
4983,2585.1,7684,5098.9
5013,3714.5,7209,3494.5
5029,3814.9,7629,3814.1
5054,2560.0,8439,5879.0
5074,3388.2,7768,4379.8
5098,3714.5,7751,4036.5
5121,2585.1,8575,5989.9
5141,3563.9,7940,4376.1
5163,3563.9,7569,4005.1
5188,2585.1,8602,6016.9
5208,3187.5,8139,4951.5
5230,3388.2,8240,4851.8
5256,2560.0,8868,6308.0
5281,3814.9,8595,4780.1
5305,3212.5,8714,5501.5
5326,2585.1,8887,6301.9
5351,3840.0,8787,4947.0
5371,3011.8,8897,5885.2
5400,3187.5,8899,5711.5
5430,3388.2,8876,5487.8
5460,2836.1,8922,6085.9
5484,3814.9,8834,5019.1
5507,3212.5,8901,5688.5
5529,2585.1,8913,6327.9
5554,3840.0,8655,4815.0
5573,3011.8,8897,5885.2
