play_ms,cmd_steps,enc_steps,err_steps
31,3237.6,3201,-36.6
69,3312.9,3223,-89.9
118,3388.2,3330,-58.2
176,3488.6,3414,-74.6
218,3563.9,3528,-35.9
268,3639.2,3603,-36.2
322,3739.6,3717,-22.6
367,3814.9,3787,-27.9
429,3915.3,3866,-49.3
469,3990.6,3974,-16.6
523,4065.9,4045,-20.9
573,4141.2,4126,-15.2
625,4216.5,4211,-5.5
676,4266.7,4258,-8.7
724,4316.9,4345,28.1
776,4367.1,4389,21.9
825,4417.3,4426,8.7
877,4442.4,4455,12.6
923,4467.5,4493,25.5
972,4467.5,4500,32.5
1023,4467.5,4501,33.5
1071,4467.5,4501,33.5
1128,4442.4,4494,51.6
1171,4392.2,4471,78.8
1231,4342.0,4416,74.0
1283,4291.8,4322,30.2
1329,4191.4,4243,51.6
1380,4116.1,4155,38.9
1431,4015.7,4058,42.3
1480,3890.2,3945,54.8
1530,3764.7,3833,68.3
1580,3614.1,3674,59.9
1631,3488.6,3541,52.4
1682,3338.0,3382,44.0
1730,3187.5,3247,59.5
1780,3011.8,3050,38.2
1830,2861.2,2897,35.8
1881,2710.6,2739,28.4
1932,2560.0,2584,24.0
1982,2434.5,2459,24.5
2032,2309.0,2303,-6.0
2082,2183.5,2200,16.5
2133,2083.1,2100,16.9
2182,2007.8,1992,-15.8
2232,1957.6,1950,-7.6
2284,1932.5,1906,-26.5
2335,1932.5,1895,-37.5
2390,1957.6,1893,-64.6
2435,2007.8,1909,-98.8
2485,2083.1,1991,-92.1
2534,2183.5,2105,-78.5
2584,2309.0,2246,-63.0
2634,2459.6,2381,-78.6
2685,2635.3,2544,-91.3
2735,2811.0,2729,-82.0
2784,3011.8,2933,-78.8
2835,3212.5,3142,-70.5
2885,3413.3,3339,-74.3
2935,3614.1,3536,-78.1
2985,3814.9,3732,-82.9
3034,3990.6,3916,-74.6
3085,4141.2,4089,-52.2
3135,4266.7,4241,-25.7
3185,4367.1,4365,-2.1
3235,4442.4,4437,-5.4
3286,4467.5,4507,39.5
3335,4467.5,4514,46.5
3385,4417.3,4511,93.7
3435,4342.0,4456,114.0
3485,4216.5,4324,107.5
3533,4116.1,4177,60.9
3586,3865.1,3982,116.9
3635,3664.3,3802,137.7
3686,3438.4,3568,129.6
3735,3187.5,3311,123.5
3783,3036.9,3087,50.1
3835,2710.6,2829,118.4
3885,2484.7,2599,114.3
3935,2309.0,2406,97.0
3984,2133.3,2201,67.7
4034,2007.8,2053,45.2
4085,1932.5,1969,36.5
4135,1932.5,1917,-15.5
4185,1957.6,1917,-40.6
4234,2032.9,1943,-89.9
4283,2108.2,2062,-46.2
4334,2334.1,2251,-83.1
4384,2560.0,2455,-105.0
4435,2811.0,2696,-115.0
4485,3087.1,2972,-115.1
4533,3262.7,3233,-29.7
4585,3639.2,3523,-116.2
4635,3890.2,3791,-99.2
4685,4116.1,4037,-79.1
4735,4291.8,4224,-67.8
4784,4417.3,4378,-39.3
4835,4467.5,4478,10.5
4885,4467.5,4498,30.5
4935,4392.2,4496,103.8
4985,4266.7,4408,141.3
5034,4091.0,4215,124.0
5085,3840.0,3967,127.0
5135,3563.9,3698,134.1
5185,3262.7,3387,124.3
5243,2961.6,3069,107.4
5287,2660.4,2760,99.6
5344,2409.4,2472,62.6
5386,2183.5,2232,48.5
5440,2032.9,2044,11.1
5490,1932.5,1920,-12.5
5537,1932.5,1886,-46.5
5591,2007.8,1887,-120.8
5636,2133.3,1985,-148.3
5691,2359.2,2211,-148.2
5740,2635.3,2474,-161.3
5786,2936.5,2791,-145.5
5836,3287.8,3126,-161.8
5894,3614.1,3461,-153.1
5940,3915.3,3781,-134.3
5986,4166.3,4058,-108.3
6040,4342.0,4297,-45.0
6091,4467.5,4445,-22.5
6136,4467.5,4491,23.5
6192,4392.2,4489,96.8
6236,4241.6,4367,125.4
6287,3990.6,4124,133.4
6341,3664.3,3817,152.7
6393,3338.0,3462,124.0
6443,2961.6,3101,139.4
6486,2635.3,2744,108.7
6541,2334.1,2414,79.9
6593,2108.2,2126,17.8
6643,1957.6,1958,0.4
6690,1932.5,1868,-64.5
6740,1982.7,1867,-115.7
6790,2158.4,1977,-181.4
6841,2409.4,2242,-167.4
6891,2760.8,2572,-188.8
6940,3112.2,2925,-187.2
6986,3513.7,3339,-174.7
7041,3865.1,3714,-151.1
7087,4166.3,4032,-134.3
7137,4367.1,4299,-68.1
7187,4467.5,4445,-22.5
7237,4467.5,4484,16.5
7290,4316.9,4441,124.1
7343,4065.9,4219,153.1
7393,3739.6,3901,161.4
7441,3363.1,3515,151.9
7490,2961.6,3111,149.4
7541,2585.1,2707,121.9
7593,2258.8,2340,81.2
7641,2032.9,2044,11.1
7693,1932.5,1909,-23.5
7743,1957.6,1863,-94.6
7786,2108.2,1912,-196.2
7841,2384.3,2174,-210.3
7887,2760.8,2525,-235.8
7941,3162.4,2944,-218.4
7990,3589.0,3371,-218.0
8040,3965.5,3779,-186.5
8087,4266.7,4121,-145.7
8144,4442.4,4363,-79.4
8190,4467.5,4453,-14.5
8244,4367.1,4440,72.9
8294,4116.1,4235,118.9
8343,3764.7,3900,135.3
8396,3338.0,3466,128.0
8445,2886.3,3016,129.7
8492,2484.7,2573,88.3
8546,2158.4,2206,47.6
8593,1957.6,1953,-4.6
8639,1932.5,1854,-78.5
8693,2032.9,1868,-164.9
8745,2309.0,2089,-220.0
8793,2685.5,2479,-206.5
8843,3137.3,2922,-215.3
8893,3614.1,3409,-205.1
8943,4015.7,3853,-162.7
8992,4316.9,4208,-108.9
9043,4467.5,4443,-24.5
9096,4442.4,4486,43.6
9143,4266.7,4413,146.3
9193,3915.3,4098,182.7
9242,3488.6,3679,190.4
9295,3011.8,3169,157.2
9345,2534.9,2679,144.1
9395,2183.5,2264,80.5
9445,1957.6,1995,37.4
9492,1932.5,1894,-38.5
9546,2083.1,1923,-160.1
9593,2384.3,2184,-200.3
9646,2836.1,2629,-207.1
9695,3338.0,3125,-213.0
9742,3814.9,3621,-193.9
9795,4191.4,4062,-129.4
9843,4417.3,4372,-45.3
9890,4467.5,4486,18.5
9943,4316.9,4457,140.1
9994,3990.6,4169,178.4
10046,3513.7,3726,212.3
10096,3011.8,3200,188.2
10143,2534.9,2678,143.1
10193,2158.4,2244,85.6
10244,1932.5,1953,20.5
10296,1957.6,1884,-73.6
10346,2158.4,1986,-172.4
10397,2560.0,2343,-217.0
10445,3062.0,2833,-229.0
10496,3589.0,3382,-207.0
10543,4065.9,3899,-166.9
10593,4367.1,4295,-72.1
10643,4467.5,4481,13.5
10696,4367.1,4476,108.9
10746,4040.8,4228,187.2
10793,3563.9,3780,216.1
10843,3011.8,3221,209.2
10897,2484.7,2667,182.3
10945,2108.2,2202,93.8
10992,1932.5,1928,-4.5
11045,1982.7,1880,-102.7
11097,2258.8,2051,-207.8
11145,2735.7,2476,-259.7
11193,3287.8,3046,-241.8
11242,3840.0,3632,-208.0
11296,4241.6,4108,-133.6
11343,4467.5,4419,-48.5
11395,4417.3,4485,67.7
11445,4141.2,4342,200.8
11495,3664.3,3897,232.7
11543,3112.2,3306,193.8
11593,2560.0,2726,166.0
11643,2133.3,2217,83.7
11695,1932.5,1906,-26.5
11742,1982.7,1859,-123.7
11796,2309.0,2062,-247.0
11845,2811.0,2536,-275.0
11897,3413.3,3144,-269.3
11942,3965.5,3726,-239.5
11994,4342.0,4216,-126.0
12039,4342.0,4346,4.0
12089,4342.0,4345,3.0
12140,4342.0,4340,-2.0
