play_ms,cmd_steps,enc_steps,err_steps
33,3312.9,3218,-94.9
48,3112.2,3215,102.8
63,2986.7,3266,279.3
88,3363.1,3062,-301.1
107,3338.0,2994,-344.0
123,2961.6,3177,215.4
144,3137.3,3004,-133.3
160,3463.5,2778,-685.5
175,3363.1,2720,-643.1
197,2986.7,3054,67.3
217,3112.2,3075,-37.2
526,3463.5,2944,-519.5
538,3312.9,3105,-207.9
562,2986.7,3231,244.3
582,3363.1,2846,-517.1
597,3463.5,2761,-702.5
611,3137.3,2864,-273.3
634,2961.6,3070,108.4
649,3137.3,2908,-229.3
665,3463.5,2705,-758.5
690,2986.7,2942,-44.7
705,2961.6,3070,108.4
725,3312.9,2970,-342.9
745,3388.2,2694,-694.2
1060,2986.7,2938,-48.7
1070,3162.4,2730,-432.4
1091,3463.5,2533,-930.5
1115,3137.3,2796,-341.3
1130,2961.6,2987,25.4
1144,3137.3,2980,-157.3
1168,3463.5,2713,-750.5
1183,3162.4,2827,-335.4
1198,2986.7,3035,48.3
1223,3312.9,2905,-407.9
1241,3388.2,2776,-612.2
1262,3011.8,2832,-179.8
1580,3363.1,2440,-923.1
1591,3463.5,2493,-970.5
1605,3338.0,2663,-675.0
1628,2961.6,3057,95.4
1655,3338.0,2807,-531.0
1673,3363.1,2721,-642.1
1686,3162.4,2822,-340.4
1709,2961.6,3050,88.4
1725,3312.9,2890,-422.9
1740,3388.2,2762,-626.2
1765,3011.8,2968,-43.8
1779,2936.5,3043,106.5
1795,3287.8,2864,-423.8
1815,3413.3,2723,-690.3
1829,3237.6,2890,-347.6
1845,2936.5,2963,26.5
1875,3438.4,2646,-792.4
1889,3438.4,2429,-1009.4
1904,3062.0,2636,-426.0
2211,3112.2,2587,-525.2
2222,3312.9,2455,-857.9
2241,3388.2,2434,-954.2
2265,3011.8,2786,-225.8
2282,3087.1,2840,-247.1
2302,3438.4,2635,-803.4
2316,3413.3,2470,-943.3
2332,3036.9,2719,-317.9
2347,2936.5,2796,-140.5
2665,3463.5,2749,-714.5
2681,3162.4,2962,-200.4
2695,2986.7,3204,217.3
2716,3112.2,3112,-0.2
2732,3463.5,2941,-522.5
2747,3388.2,2960,-428.2
2769,3011.8,3307,295.2
2783,3087.1,3280,192.9
2799,3287.8,3038,-249.8
2824,3237.6,2901,-336.6
2839,3036.9,3108,71.1
2856,3062.0,3187,125.0
2883,3438.4,3015,-423.4
2897,3262.7,3142,-120.7
2917,2936.5,3412,475.5
2931,3237.6,3373,135.4
2947,3413.3,3172,-241.3
2963,3287.8,3132,-155.8
2995,3011.8,3418,406.2
3010,3388.2,3274,-114.2
3024,3463.5,3024,-439.5
3047,3112.2,3093,-19.2
3062,2986.7,3175,188.3
3082,3363.1,3028,-335.1
3102,3338.0,2787,-551.0
3416,2936.5,2920,-16.5
