play_ms,cmd_steps,enc_steps,err_steps
27,3011.8,2893,-118.8
42,3087.1,2893,-194.1
70,3137.3,3048,-89.3
98,3062.0,3130,68.0
131,2836.1,3137,300.9
154,2710.6,3013,302.4
177,2635.3,2799,163.7
202,2635.3,2694,58.7
233,2785.9,2686,-99.9
254,2911.4,2781,-130.4
285,3087.1,2986,-101.1
307,3137.3,3124,-13.3
336,3062.0,3217,155.0
361,2886.3,3209,322.7
388,2760.8,3078,317.2
414,2635.3,2895,259.7
448,2660.4,2691,30.6
463,2785.9,2674,-111.9
497,2986.7,2771,-215.7
516,3087.1,2906,-181.1
549,3137.3,3096,-41.3
572,3011.8,3135,123.2
601,2785.9,3109,323.1
628,2685.5,2968,282.5
667,2660.4,2712,51.6
688,2760.8,2662,-98.8
716,2961.6,2695,-266.6
741,3112.2,2868,-244.2
769,3137.3,3056,-81.3
797,2986.7,3106,119.3
825,2760.8,3045,284.2
851,2635.3,2846,210.7
874,2635.3,2690,54.7
900,2811.0,2612,-199.0
927,2961.6,2661,-300.6
957,3112.2,2906,-206.2
980,3087.1,3039,-48.1
1008,2986.7,3087,100.3
1034,2760.8,3030,269.2
1066,2635.3,2779,143.7
1088,2660.4,2670,9.6
1116,2836.1,2649,-187.1
1140,3062.0,2754,-308.0
1167,3137.3,2974,-163.3
1192,3062.0,3112,50.0
1222,2836.1,3129,292.9
1248,2685.5,2996,310.5
1279,2635.3,2728,92.7
1301,2785.9,2666,-119.9
1331,3011.8,2695,-316.8
1355,3112.2,2879,-233.2
1386,3087.1,3081,-6.1
1408,2961.6,3108,146.4
1438,2710.6,2970,259.4
1461,2635.3,2758,122.7
1489,2685.5,2604,-81.5
1511,2936.5,2602,-334.5
1545,3112.2,2838,-274.2
1568,3137.3,2998,-139.3
1603,2861.2,3061,199.8
1625,2710.6,2973,262.4
1655,2635.3,2713,77.7
1678,2710.6,2623,-87.6
1706,2961.6,2656,-305.6
1740,3137.3,2888,-249.3
1755,3112.2,3039,-73.2
1785,2886.3,3071,184.7
1820,2635.3,2852,216.7
1842,2660.4,2653,-7.4
1871,2861.2,2564,-297.2
1895,3036.9,2637,-399.9
1922,3137.3,2886,-251.3
1946,3036.9,2984,-52.9
1984,2710.6,2915,204.4
2002,2635.3,2706,70.7
2031,2735.7,2517,-218.7
2055,2911.4,2489,-422.4
2097,3137.3,2773,-364.3
2112,3062.0,2883,-179.0
2147,2811.0,2942,131.0
2169,2660.4,2779,118.6
2199,2660.4,2534,-126.4
2223,2911.4,2510,-401.4
2255,3112.2,2671,-441.2
2278,3112.2,2845,-267.2
2306,2886.3,2915,28.7
2331,2660.4,2778,117.6
2358,2635.3,2510,-125.3
2382,2836.1,2444,-392.1
2412,3087.1,2513,-574.1
2437,3137.3,2762,-375.3
2763,3087.1,2947,-140.1
2771,3011.8,2957,-54.8
2822,2635.3,2731,95.7
2840,2685.5,2626,-59.5
2876,2961.6,2503,-458.6
2892,3112.2,2616,-496.2
2933,2961.6,2949,-12.6
2942,2861.2,2950,88.8
2984,2635.3,2673,37.7
3000,2735.7,2573,-162.7
3035,3036.9,2580,-456.9
3049,3112.2,2719,-393.2
3085,2986.7,2990,3.3
3100,2785.9,2982,196.1
3138,2635.3,2674,38.7
3167,2836.1,2539,-297.1
3190,3112.2,2640,-472.2
3212,3112.2,2870,-242.2
3238,2961.6,3004,42.4
3271,2635.3,2904,268.7
3296,2685.5,2636,-49.5
3326,2961.6,2541,-420.6
3350,3137.3,2721,-416.3
3382,2936.5,2958,21.5
3403,2710.6,2905,194.4
3434,2635.3,2649,13.7
3754,3011.8,2579,-432.8
3769,3112.2,2671,-441.2
3808,2936.5,2946,9.5
3822,2735.7,2930,194.3
3858,2660.4,2562,-98.4
3873,2836.1,2534,-302.1
3916,3137.3,2728,-409.3
3931,3011.8,2850,-161.8
3961,2685.5,2900,214.5
3986,2635.3,2687,51.7
4014,2886.3,2475,-411.3
4038,3087.1,2613,-474.1
4067,3062.0,2896,-166.0
4095,2710.6,2918,207.4
4125,2660.4,2644,-16.4
4151,2986.7,2574,-412.7
4178,3137.3,2774,-363.3
4203,2961.6,2987,25.4
4234,2660.4,2986,325.6
4247,2635.3,2807,171.7
4281,2961.6,2648,-313.6
4303,3137.3,2769,-368.3
4341,2836.1,3105,268.9
4362,2660.4,3040,379.6
4394,2735.7,2743,7.3
4414,2986.7,2660,-326.7
4443,3112.2,2843,-269.2
4466,2936.5,2980,43.5
4504,2635.3,2719,83.7
4528,2785.9,2504,-281.9
4556,3112.2,2615,-497.2
4581,3011.8,2860,-151.8
4608,2760.8,2932,171.2
4632,2635.3,2704,68.7
4660,2961.6,2496,-465.6
4682,3137.3,2574,-563.3
4713,2961.6,2900,-61.6
4741,2635.3,2942,306.7
4774,2785.9,2649,-136.9
5086,2886.3,2950,63.7
5101,2660.4,2918,257.6
5146,2886.3,2494,-392.3
5161,3112.2,2523,-589.2
5203,2861.2,2926,64.8
5214,2735.7,2906,170.3
5243,2685.5,2624,-61.5
5262,2936.5,2559,-377.5
5302,3062.0,2847,-215.0
5325,2811.0,3023,212.0
5354,2635.3,2900,264.7
5381,2986.7,2744,-242.7
5409,3137.3,2882,-255.3
5434,2886.3,3115,228.7
5458,2660.4,3063,402.6
5486,2785.9,2870,84.1
5515,3112.2,2959,-153.2
5541,2936.5,3204,267.5
5568,2685.5,3254,568.5
5591,2735.7,2964,228.3
5625,3112.2,2858,-254.2
5650,2986.7,3056,69.3
5678,2710.6,3098,387.4
5704,2710.6,2819,108.4
5734,3087.1,2610,-477.1
5755,3112.2,2845,-267.2
5791,2635.3,2940,304.7
5813,2685.5,2648,-37.5
5838,2961.6,2472,-489.6
5866,3112.2,2677,-435.2
5897,2735.7,2790,54.3
5920,2685.5,2540,-145.5
5959,3087.1,2406,-681.1
5974,3112.2,2596,-516.2
6008,2735.7,2855,119.3
6032,2710.6,2616,-94.6
6066,3087.1,2426,-661.1
6090,2986.7,2718,-268.7
6126,2635.3,2801,165.7
6141,2735.7,2630,-105.7
6176,3112.2,2508,-604.2
6207,2936.5,2803,-133.5
6229,2685.5,2786,100.5
6251,2760.8,2512,-248.8
6275,3062.0,2398,-664.0
6306,3036.9,2703,-333.9
6338,2635.3,2643,7.7
6360,2836.1,2341,-495.1
6392,3137.3,2344,-793.3
6416,2961.6,2641,-320.6
6444,2635.3,2623,-12.3
6468,2760.8,2358,-402.8
6504,3112.2,2400,-712.2
6532,2735.7,2878,142.3
6557,2635.3,2827,191.7
6578,2861.2,2568,-293.2
6611,3062.0,2768,-294.0
6631,2785.9,2992,206.1
6663,2685.5,2829,143.5
6682,2961.6,2597,-364.6
6713,3087.1,2721,-366.1
6737,2811.0,2860,49.0
6771,2785.9,2544,-241.9
6800,3137.3,2480,-657.3
6824,2986.7,2868,-118.7
6847,2685.5,2994,308.5
6875,2785.9,2745,-40.9
6900,3137.3,2779,-358.3
6933,2836.1,3202,365.9
6952,2635.3,3202,566.7
6986,2936.5,2934,-2.5
7017,3112.2,3103,-9.2
7039,2811.0,3356,545.0
7065,2660.4,3131,470.6
7095,3087.1,2889,-198.1
7115,3087.1,3114,26.9
7145,2660.4,3215,554.6
7167,2685.5,2957,271.5
7199,3087.1,2885,-202.1
7222,2936.5,3174,237.5
7246,2660.4,3295,634.6
7273,2861.2,3037,175.8
7301,3137.3,3189,51.7
7334,2735.7,3547,811.3
7359,2635.3,3439,803.7
7390,3137.3,3279,141.7
7415,2986.7,3560,573.3
7439,2685.5,3634,948.5
7465,2811.0,3369,558.0
7496,3137.3,3532,394.7
7518,2911.4,3752,840.6
7556,2735.7,3567,831.3
7873,3112.2,3494,381.8
7885,2986.7,3689,702.3
7925,2685.5,3513,827.5
7940,3011.8,3392,380.2
7975,3011.8,3604,592.2
7990,2710.6,3741,1030.4
8039,2986.7,3457,470.3
8054,3137.3,3539,401.7
8083,2710.6,3946,1235.4
8098,2635.3,3832,1196.7
8143,3137.3,3572,434.7
8155,3062.0,3771,709.0
8188,2635.3,3900,1264.7
8210,2961.6,3672,710.4
8250,2886.3,3850,963.7
8264,2710.6,3957,1246.4
8297,2785.9,3749,963.1
8320,3137.3,3781,643.7
8355,2710.6,4152,1441.4
8377,2660.4,3894,1233.6
8407,3112.2,3764,651.8
8429,3036.9,4058,1021.1
8462,2685.5,4041,1355.5
8485,3011.8,3733,721.2
8515,3011.8,3818,806.2
8541,2635.3,3864,1228.7
8574,3036.9,3439,402.1
8594,3112.2,3492,379.8
8624,2660.4,3659,998.6
8648,2735.7,3294,558.3
8678,3137.3,3302,164.7
8708,2735.7,3576,840.3
8738,2785.9,3252,466.1
8760,3137.3,3231,93.7
8792,2685.5,3597,911.5
8816,2685.5,3480,794.5
8846,3137.3,3194,56.7
8872,2760.8,3556,795.2
8901,2760.8,3429,668.2
8923,3087.1,3203,115.9
8959,2861.2,3519,657.8
8989,2685.5,3422,736.5
9011,3137.3,3188,50.7
9036,2961.6,3436,474.4
9067,2635.3,3541,905.7
9089,2961.6,3292,330.4
9123,2836.1,3627,790.9
9145,2635.3,3740,1104.7
9172,3062.0,3439,377.0
9198,3087.1,3723,635.9
9225,2635.3,3836,1200.7
9259,2986.7,3514,527.3
9282,2986.7,3711,724.3
9314,2635.3,3922,1286.7
9345,3087.1,3586,498.9
9361,3036.9,3621,584.1
9401,2710.6,3976,1265.4
9413,2886.3,3813,926.7
9447,3062.0,3827,765.0
9470,2635.3,3912,1276.7
9498,2861.2,3572,710.8
9528,3087.1,3704,616.9
9557,2635.3,3842,1206.7
9583,3011.8,3530,518.2
9615,2936.5,3583,646.5
9638,2635.3,3639,1003.7
9667,2986.7,3302,315.3
9688,3112.2,3464,351.8
9722,2660.4,3658,997.6
9742,2986.7,3352,365.3
10084,3087.1,3571,483.9
10093,2911.4,3784,872.6
10125,2685.5,3765,1079.5
10145,3062.0,3655,593.0
10191,2635.3,4075,1439.7
10206,2710.6,3941,1230.4
10245,3036.9,3785,748.1
10258,2836.1,3923,1086.9
10295,2936.5,3606,669.5
10310,3112.2,3630,517.8
10355,2660.4,4049,1388.6
10371,3011.8,3759,747.2
10400,2936.5,3871,934.5
10422,2635.3,4069,1433.7
10452,3062.0,3747,685.0
10474,3062.0,3797,735.0
10508,2635.3,3962,1326.7
10542,3112.2,3688,575.8
10857,3011.8,3961,949.2
10871,2635.3,4008,1372.7
10928,3087.1,3754,666.9
10943,2710.6,3964,1253.4
10976,2936.5,3794,857.5
10991,3112.2,3734,621.8
11027,2635.3,4125,1489.7
11042,2836.1,3933,1096.9
11080,2861.2,3763,901.8
11095,2660.4,3943,1282.6
11133,3112.2,3714,601.8
11144,3087.1,3892,804.9
11184,2710.6,4175,1464.4
11193,2911.4,4035,1123.6
11235,2760.8,4153,1392.2
11250,2660.4,4060,1399.6
11287,3137.3,3755,617.7
11302,2836.1,3955,1118.9
11345,3011.8,3993,981.2
11353,3137.3,4035,897.7
11394,2635.3,4340,1704.7
11409,2760.8,4145,1384.2
11752,2660.4,4047,1386.6
11769,2836.1,3862,1025.9
11811,2660.4,3981,1320.6
11826,2660.4,4015,1354.6
11864,3036.9,3883,846.1
11878,2836.1,4053,1216.9
11917,3036.9,3745,708.1
11932,3036.9,3798,761.1
11968,2660.4,4155,1494.6
11984,3036.9,3911,874.1
12018,2811.0,3984,1173.0
12033,2660.4,3931,1270.6
12066,3137.3,3599,461.7
12080,2785.9,3761,975.1
12128,3062.0,3692,630.0
12143,2986.7,3821,834.3
12177,2685.5,4160,1474.5
12200,3137.3,3896,758.7
12230,2635.3,4292,1656.7
12254,2911.4,4107,1195.6
12278,3112.2,3999,886.8
12305,2635.3,4146,1510.7
12339,3112.2,3838,725.8
12360,2685.5,4189,1503.5
12398,3011.8,3878,866.2
12419,3062.0,3900,838.0
12449,2660.4,3993,1332.6
12474,3137.3,3743,605.7
12511,2685.5,4068,1382.5
12532,3087.1,3880,792.9
12559,2961.6,4136,1174.4
12584,2735.7,4263,1527.3
12619,3087.1,3975,887.9
12639,2685.5,4205,1519.5
12671,3137.3,3883,745.7
12691,2811.0,4035,1224.0
12721,2861.2,4188,1326.8
12747,3137.3,3880,742.7
12774,2635.3,4043,1407.7
12799,2961.6,3706,744.4
12829,2886.3,3924,1037.7
12849,2635.3,3921,1285.7
12879,3137.3,3632,494.7
12905,2635.3,3976,1340.7
12937,3112.2,3829,716.8
12959,2936.5,4179,1242.5
12995,3011.8,4089,1077.2
13017,3036.9,3925,888.1
13046,2660.4,4026,1365.6
13072,3112.2,3735,622.8
13099,2710.6,4066,1355.4
13125,2986.7,3806,819.3
13154,2836.1,3738,901.9
13175,2660.4,3661,1000.6
13212,2936.5,3444,507.5
13233,2635.3,3656,1020.7
13258,2986.7,3436,449.3
13281,2811.0,3584,773.0
13311,2886.3,3735,848.7
13335,3112.2,3470,357.8
13364,2635.3,3728,1092.7
13391,3137.3,3395,257.7
13417,2785.9,3416,630.1
13442,2936.5,3298,361.5
13469,3087.1,3080,-7.1
13494,2635.3,3338,702.7
13518,3062.0,2997,-65.0
13548,2735.7,3244,508.3
13576,2986.7,2957,-29.7
13598,3036.9,3131,94.1
13628,2685.5,3297,611.5
13654,3087.1,3006,-81.1
13677,2660.4,3356,695.6
13701,3062.0,3175,113.0
13735,2710.6,3399,688.4
13761,3011.8,3124,112.2
13788,3011.8,2965,-46.8
13824,2936.5,3318,381.5
13848,3062.0,3088,26.0
13873,2660.4,3301,640.6
13901,3112.2,2863,-249.2
13926,2685.5,3150,464.5
13953,3062.0,3154,92.0
13978,2961.6,3520,558.4
14009,2785.9,3549,763.1
