play_ms,cmd_steps,enc_steps,err_steps
29,1405.5,1289,-116.5
44,1430.6,1289,-141.6
76,1229.8,1300,70.2
98,1129.4,1232,102.6
129,1254.9,1023,-231.9
151,1430.6,1009,-421.6
180,1330.2,1156,-174.2
203,1179.6,1178,-1.6
234,1154.5,992,-162.5
259,1280.0,950,-330.0
291,1430.6,1025,-405.6
316,1280.0,1137,-143.0
341,1129.4,1056,-73.4
362,1179.6,943,-236.6
397,1405.5,945,-460.5
421,1380.4,1098,-282.4
450,1154.5,1200,45.5
474,1129.4,1162,32.6
495,1229.8,1075,-154.8
527,1430.6,1125,-305.6
547,1405.5,1252,-153.5
580,1129.4,1283,153.6
602,1154.5,1168,13.5
626,1305.1,1059,-246.1
656,1430.6,1168,-262.6
687,1254.9,1273,18.1
714,1129.4,1236,106.6
745,1280.0,1091,-189.0
1061,1129.4,1191,61.6
1069,1129.4,1090,-39.4
1110,1355.3,970,-385.3
1119,1355.3,1009,-346.3
1164,1280.0,1190,-90.0
1179,1204.7,1189,-15.7
1219,1204.7,993,-211.7
1233,1355.3,990,-365.3
1273,1355.3,1142,-213.3
1288,1254.9,1193,-61.9
1317,1129.4,1129,-0.4
1343,1305.1,1038,-267.1
1366,1430.6,1056,-374.6
1392,1330.2,1167,-163.2
1422,1129.4,1140,10.6
1447,1154.5,984,-170.5
1479,1380.4,951,-429.4
1506,1405.5,1076,-329.5
1530,1154.5,1145,-9.5
1549,1129.4,1040,-89.4
1594,1405.5,911,-494.5
1608,1430.6,965,-465.6
1636,1305.1,1117,-188.1
1670,1129.4,1082,-47.4
1689,1204.7,949,-255.7
1714,1430.6,919,-511.6
1746,1355.3,1060,-295.3
1765,1179.6,1061,-118.6
1795,1154.5,898,-256.5
1830,1430.6,861,-569.6
1850,1405.5,993,-412.5
1879,1229.8,1068,-161.8
1911,1179.6,920,-259.6
1933,1330.2,844,-486.2
1967,1430.6,927,-503.6
1989,1280.0,1003,-277.0
2022,1154.5,922,-232.5
2043,1305.1,788,-517.1
2077,1430.6,891,-539.6
2103,1254.9,993,-261.9
2136,1129.4,944,-185.4
2156,1254.9,857,-397.9
2185,1430.6,904,-526.6
2211,1280.0,1030,-250.0
2245,1129.4,1017,-112.4
2267,1204.7,898,-306.7
2301,1430.6,940,-490.6
2320,1330.2,1098,-232.2
2350,1129.4,1107,-22.4
2376,1179.6,948,-231.6
2408,1405.5,938,-467.5
2430,1355.3,1085,-270.3
2461,1129.4,1148,18.6
2481,1154.5,1044,-110.5
2513,1405.5,969,-436.5
2534,1430.6,1110,-320.6
2569,1204.7,1189,-15.7
2592,1154.5,1087,-67.5
2623,1380.4,968,-412.4
2647,1430.6,1078,-352.6
2679,1229.8,1181,-48.8
2998,1355.3,1262,-93.3
3007,1280.0,1261,-19.0
3056,1229.8,1002,-227.8
3369,1129.4,1024,-105.4
3380,1229.8,971,-258.8
3421,1430.6,1027,-403.6
3429,1430.6,1086,-344.6
3469,1129.4,1059,-70.4
3478,1129.4,983,-146.4
3522,1430.6,920,-510.6
3537,1430.6,1012,-418.6
3578,1129.4,1083,-46.4
3593,1154.5,1002,-152.5
3636,1430.6,917,-513.6
3654,1355.3,1018,-337.3
3689,1129.4,1025,-104.4
3717,1254.9,857,-397.9
3751,1405.5,847,-558.5
3770,1254.9,962,-292.9
3803,1129.4,925,-204.4
3825,1280.0,835,-445.0
3859,1430.6,911,-519.6
4172,1430.6,959,-471.6
4186,1405.5,1016,-389.5
4225,1129.4,991,-138.4
4245,1204.7,932,-272.7
4287,1430.6,962,-468.6
4303,1305.1,1056,-249.1
4344,1154.5,1001,-153.5
4358,1229.8,965,-264.8
4396,1430.6,1051,-379.6
4416,1254.9,1114,-140.9
4448,1129.4,1031,-98.4
4463,1280.0,961,-319.0
4499,1430.6,962,-468.6
4513,1305.1,1034,-271.1
4562,1229.8,973,-256.8
4577,1330.2,916,-414.2
4607,1430.6,986,-444.6
4632,1179.6,1056,-123.6
4662,1179.6,973,-206.6
4683,1355.3,942,-413.3
4714,1380.4,1099,-281.4
4740,1154.5,1149,-5.5
4774,1229.8,951,-278.8
4794,1405.5,936,-469.5
4827,1355.3,1106,-249.3
4849,1179.6,1123,-56.6
4882,1280.0,949,-331.0
4904,1430.6,897,-533.6
4938,1280.0,1033,-247.0
4964,1129.4,996,-133.4
4994,1355.3,843,-512.3
5014,1430.6,907,-523.6
5049,1229.8,1048,-181.8
5069,1129.4,978,-151.4
5100,1405.5,834,-571.5
5121,1430.6,895,-535.6
5152,1179.6,990,-189.6
5175,1129.4,872,-257.4
5207,1380.4,762,-618.4
5229,1430.6,904,-526.6
5265,1129.4,1011,-118.4
5288,1179.6,923,-256.6
5320,1430.6,895,-535.6
5342,1305.1,1044,-261.1
5368,1129.4,1048,-81.4
5395,1229.8,916,-313.8
5425,1430.6,965,-465.6
5447,1330.2,1097,-233.2
5477,1129.4,1086,-43.4
5503,1330.2,946,-384.2
5533,1405.5,965,-440.5
5554,1254.9,1018,-236.9
5584,1129.4,926,-203.4
5913,1380.4,774,-606.4
5928,1430.6,851,-579.6
5969,1179.6,1044,-135.6
5983,1129.4,973,-156.4
6031,1430.6,815,-615.6
6047,1380.4,948,-432.4
6088,1129.4,1021,-108.4
6102,1280.0,897,-383.0
6135,1430.6,898,-532.6
6161,1179.6,993,-186.6
6189,1129.4,918,-211.4
6208,1280.0,873,-407.0
6245,1355.3,1017,-338.3
6270,1129.4,1051,-78.4
6299,1204.7,875,-329.7
6317,1380.4,879,-501.4
6646,1305.1,1049,-256.1
6657,1204.7,1042,-162.7
6700,1355.3,807,-548.3
6715,1430.6,826,-604.6
6757,1179.6,1052,-127.6
6774,1129.4,974,-155.4
6805,1380.4,779,-601.4
6819,1430.6,831,-599.6
6863,1129.4,1015,-114.4
6877,1129.4,915,-214.4
6920,1405.5,871,-534.5
6934,1330.2,1000,-330.2
6978,1154.5,1049,-105.5
6998,1330.2,987,-343.2
7019,1430.6,1112,-318.6
7047,1204.7,1246,41.3
7076,1179.6,1123,-56.6
7106,1430.6,1111,-319.6
7136,1254.9,1275,20.1
7168,1129.4,1185,55.6
7191,1405.5,1084,-321.5
7221,1330.2,1176,-154.2
7244,1154.5,1198,43.5
7276,1254.9,1016,-238.9
7300,1430.6,1011,-419.6
7332,1179.6,1262,82.4
7356,1129.4,1165,35.6
7392,1430.6,1058,-372.6
7408,1430.6,1146,-284.6
7440,1129.4,1252,122.6
7469,1229.8,1101,-128.8
7504,1405.5,1086,-319.5
7515,1305.1,1179,-126.1
7554,1179.6,1088,-91.6
7865,1430.6,1134,-296.6
7880,1380.4,1229,-151.4
7921,1129.4,1271,141.6
7929,1129.4,1150,20.6
7970,1405.5,1136,-269.5
7985,1330.2,1234,-96.2
8022,1179.6,1164,-15.6
8037,1254.9,1118,-136.9
8078,1355.3,1245,-110.3
8096,1154.5,1272,117.5
8126,1229.8,1196,-33.8
8140,1405.5,1185,-220.5
8179,1305.1,1301,-4.1
8189,1204.7,1285,80.3
8236,1405.5,1095,-310.5
8248,1430.6,1179,-251.6
8293,1129.4,1305,175.6
8307,1179.6,1209,29.4
8347,1430.6,1251,-179.6
8362,1254.9,1325,70.1
8404,1229.8,1281,51.2
8419,1355.3,1271,-84.3
8455,1280.0,1440,160.0
8470,1129.4,1444,314.6
8514,1405.5,1226,-179.5
8529,1430.6,1274,-156.6
8559,1204.7,1445,240.3
8585,1204.7,1336,131.3
8613,1430.6,1210,-220.6
8638,1330.2,1328,-2.2
8666,1129.4,1303,173.6
8690,1380.4,1178,-202.4
8715,1430.6,1228,-202.6
8741,1154.5,1319,164.5
8774,1254.9,1094,-160.9
8797,1430.6,1096,-334.6
8828,1254.9,1296,41.1
8852,1154.5,1251,96.5
8880,1430.6,1104,-326.6
8907,1380.4,1235,-145.4
8943,1154.5,1213,58.5
8967,1330.2,951,-379.2
8989,1430.6,958,-472.6
9022,1129.4,1079,-50.4
9045,1229.8,994,-235.8
9076,1430.6,1036,-394.6
9098,1280.0,1170,-110.0
9128,1129.4,1121,-8.4
