play_ms,cmd_steps,enc_steps,err_steps
29,3087.1,2887,-200.1
43,3112.2,2887,-225.2
77,2785.9,2951,165.1
100,2635.3,2742,106.7
123,2811.0,2506,-305.0
147,3062.0,2588,-474.0
188,2961.6,2898,-63.6
209,2710.6,2842,131.4
233,2660.4,2571,-89.4
260,3011.8,2450,-561.8
283,3137.3,2677,-460.3
317,2886.3,2897,10.7
336,2660.4,2767,106.6
366,2735.7,2461,-274.7
404,3137.3,2500,-637.3
430,2936.5,2858,-78.5
452,2685.5,2952,266.5
475,2635.3,2761,125.7
505,2936.5,2652,-284.5
530,3137.3,2832,-305.3
556,2961.6,3121,159.4
582,2635.3,3029,393.7
610,2785.9,2746,-39.9
635,3036.9,2789,-247.9
662,3087.1,3117,29.9
687,2861.2,3194,332.8
716,2635.3,2961,325.7
741,2886.3,2752,-134.3
774,3137.3,2889,-248.3
793,2986.7,3080,93.3
826,2660.4,3007,346.6
853,2760.8,2679,-81.8
872,3011.8,2608,-403.8
906,3112.2,2875,-237.2
924,2886.3,2966,79.7
957,2635.3,2755,119.7
977,2760.8,2544,-216.8
1006,3112.2,2600,-512.2
1030,3011.8,2891,-120.8
1061,2660.4,2915,254.6
1086,2660.4,2670,9.6
1114,3011.8,2588,-423.8
1136,3137.3,2844,-293.3
1166,2861.2,3041,179.8
1188,2660.4,2891,230.6
1220,2886.3,2598,-288.3
1249,3112.2,2622,-490.2
1269,3087.1,2846,-241.1
1292,2735.7,2899,163.3
1322,2685.5,2591,-94.5
1358,3036.9,2585,-451.9
1380,3087.1,2846,-241.1
1405,2836.1,3033,196.9
1432,2635.3,2825,189.7
1468,2936.5,2685,-251.5
1490,3137.3,2877,-260.3
1514,2936.5,3127,190.5
1541,2635.3,2977,341.7
1573,2836.1,2703,-133.1
1599,3087.1,2803,-284.1
1632,2911.4,3122,210.6
1658,2660.4,3036,375.6
1679,2660.4,2733,72.6
1709,3011.8,2656,-355.8
1737,3087.1,2994,-93.1
