play_ms,cmd_steps,enc_steps,err_steps
30,1480.8,1616,135.2
46,1455.7,1704,248.3
76,1631.4,1690,58.6
101,1681.6,1807,125.4
133,1430.6,1589,158.4
155,1731.8,1421,-310.8
182,1430.6,1552,121.4
205,1756.9,1381,-375.9
236,1455.7,1579,123.3
258,1756.9,1409,-347.9
291,1681.6,1570,-111.6
313,1581.2,1350,-231.2
341,1731.8,1309,-422.8
364,1531.0,1428,-103.0
393,1756.9,1359,-397.9
419,1505.9,1515,9.1
456,1656.5,1394,-262.5
470,1480.8,1487,6.2
506,1606.3,1451,-155.3
521,1531.0,1594,63.0
557,1556.1,1570,13.9
573,1581.2,1670,88.8
611,1455.7,1658,202.3
623,1631.4,1500,-131.4
663,1480.8,1208,-272.8
677,1656.5,1025,-631.5
714,1505.9,1038,-467.9
728,1706.7,912,-794.7
774,1731.8,959,-772.8
790,1505.9,951,-554.9
830,1656.5,1190,-466.5
845,1480.8,1239,-241.8
880,1631.4,1512,-119.4
898,1455.7,1675,219.3
926,1756.9,1961,204.1
946,1430.6,2183,752.4
984,1531.0,2080,549.0
998,1455.7,2165,709.3
1045,1455.7,1982,526.3
1060,1756.9,1777,20.1
1098,1505.9,1724,218.1
1113,1756.9,1529,-227.9
1151,1731.8,1376,-355.8
1166,1731.8,1290,-441.8
1203,1756.9,1518,-238.9
1236,1455.7,1843,387.3
1265,1631.4,1830,198.6
1280,1480.8,1853,372.2
1317,1581.2,1949,367.8
1333,1531.0,2091,560.0
1362,1531.0,2055,524.0
1386,1581.2,2040,458.8
1421,1455.7,1971,515.3
1437,1631.4,1770,138.6
1475,1480.8,1744,263.2
1501,1606.3,1526,-80.3
1528,1531.0,1696,165.0
1550,1556.1,1532,-24.1
1581,1756.9,1619,-137.9
1604,1505.9,1769,263.1
1634,1756.9,1661,-95.9
1664,1480.8,1840,359.2
1694,1606.3,1862,255.7
1710,1505.9,1989,483.1
1747,1556.1,1788,231.9
1769,1556.1,1785,228.9
1800,1455.7,1692,236.3
1824,1756.9,1657,-99.9
1854,1480.8,1878,397.2
1880,1631.4,1661,29.6
1908,1505.9,1816,310.1
1930,1581.2,1657,75.8
1960,1731.8,1832,100.2
1982,1531.0,1669,138.0
2013,1756.9,1787,30.1
2038,1480.8,1981,500.2
2075,1631.4,1808,176.6
2090,1505.9,1902,396.1
2121,1581.2,1913,331.8
2140,1531.0,2106,575.0
2171,1531.0,2151,620.0
2194,1581.2,2230,648.8
2224,1480.8,2116,635.2
2256,1756.9,1960,203.1
2280,1480.8,2106,625.2
2307,1756.9,1924,167.1
2332,1531.0,2071,540.0
2364,1531.0,1848,317.0
2389,1581.2,1808,226.8
2417,1505.9,1650,144.1
2441,1756.9,1567,-189.9
2474,1480.8,1510,29.2
2498,1756.9,1438,-318.9
2528,1531.0,1659,128.0
2549,1731.8,1488,-243.8
2580,1756.9,1662,-94.9
2598,1706.7,1551,-155.7
2642,1656.5,1561,-95.5
2668,1480.8,1883,402.2
2691,1606.3,1883,276.7
2714,1505.9,2052,546.1
2741,1556.1,2068,511.9
2763,1556.1,2091,534.9
2798,1505.9,2034,528.1
2821,1756.9,2028,271.1
2848,1480.8,1940,459.2
2877,1756.9,1818,61.1
2908,1505.9,1677,171.1
2923,1756.9,1522,-234.9
2957,1556.1,1420,-136.1
2968,1731.8,1312,-419.8
3013,1756.9,1373,-383.9
3028,1681.6,1411,-270.6
3068,1756.9,1573,-183.9
3083,1455.7,1665,209.3
3120,1581.2,1885,303.8
3132,1430.6,2052,621.4
3172,1531.0,2137,606.0
3180,1430.6,2231,800.4
3225,1480.8,2161,680.2
3240,1631.4,2239,607.6
3287,1480.8,2012,531.2
3301,1756.9,1910,153.1
3326,1430.6,1919,488.4
3346,1731.8,1807,75.2
3390,1756.9,1814,57.1
3405,1681.6,1643,-38.6
3444,1756.9,1599,-157.9
3458,1656.5,1644,-12.5
3493,1756.9,1736,-20.9
3507,1606.3,1807,200.7
3546,1731.8,1827,95.2
3560,1430.6,1932,501.4
3597,1706.7,1915,208.3
3617,1455.7,2076,620.3
3650,1480.8,2082,601.2
3666,1480.8,2219,738.2
3702,1455.7,2191,735.3
3716,1505.9,2323,817.1
3755,1430.6,2279,848.4
3770,1731.8,2201,469.2
3801,1455.7,2037,581.3
3817,1606.3,2107,500.7
3854,1480.8,2135,654.2
