play_ms,cmd_steps,enc_steps,err_steps
31,476.9,318,-158.9
47,476.9,319,-157.9
77,251.0,373,122.0
98,150.6,296,145.4
129,276.1,112,-164.1
151,476.9,130,-346.9
181,376.5,310,-66.5
212,175.7,304,128.3
248,251.0,61,-190.0
263,401.6,-1,-402.6
294,451.8,46,-405.8
316,326.3,114,-212.3
345,150.6,68,-82.6
368,225.9,-49,-274.9
396,451.8,-38,-489.8
419,476.9,153,-323.9
460,175.7,271,95.3
772,476.9,226,-250.9
788,451.8,287,-164.8
829,175.7,312,136.3
846,175.7,240,64.3
877,401.6,91,-310.6
899,476.9,212,-264.9
929,326.3,358,31.7
954,150.6,311,160.4
981,326.3,143,-183.3
1006,451.8,213,-238.8
1033,401.6,402,0.4
1056,251.0,404,153.0
1087,175.7,238,62.3
1108,326.3,158,-168.3
1138,476.9,259,-217.9
1163,326.3,399,72.7
1187,175.7,374,198.3
1218,251.0,221,-30.0
1251,476.9,280,-196.9
1277,401.6,490,88.4
1303,175.7,533,357.3
1322,200.8,400,199.2
1345,351.4,317,-34.4
1376,476.9,423,-53.9
1406,301.2,533,231.8
1430,150.6,463,312.4
1462,351.4,255,-96.4
1481,476.9,267,-209.9
1511,351.4,421,69.6
1537,200.8,392,191.2
1568,225.9,183,-42.9
1589,376.5,160,-216.5
1618,476.9,330,-146.9
1653,200.8,412,211.2
1676,175.7,270,94.3
1714,451.8,192,-259.8
1739,451.8,367,-84.8
1759,301.2,433,131.8
1792,200.8,315,114.2
1815,351.4,193,-158.4
1847,476.9,280,-196.9
1869,351.4,395,43.6
1898,175.7,309,133.3
1921,301.2,184,-117.2
1953,476.9,185,-291.9
1977,401.6,335,-66.6
2009,175.7,346,170.3
2032,251.0,158,-93.0
2070,476.9,129,-347.9
2087,451.8,260,-191.8
2114,200.8,412,211.2
2136,175.7,264,88.3
2166,376.5,189,-187.5
2195,476.9,273,-203.9
2225,251.0,403,152.0
2251,175.7,291,115.3
2289,426.7,138,-288.7
2304,476.9,236,-240.9
2340,200.8,428,227.2
2351,150.6,361,210.4
2389,301.2,169,-132.2
2400,451.8,194,-257.8
2446,301.2,421,119.8
2464,175.7,410,234.3
2504,351.4,202,-149.4
2518,426.7,233,-193.7
2855,451.8,365,-86.8
2870,451.8,458,6.2
2912,175.7,617,441.3
2926,150.6,533,382.4
2963,451.8,337,-114.8
2977,476.9,420,-56.9
3017,225.9,599,373.1
3029,175.7,502,326.3
3064,351.4,279,-72.4
3089,476.9,368,-108.9
3119,326.3,558,231.7
3143,150.6,486,335.4
3181,426.7,315,-111.7
3202,476.9,458,-18.9
3226,326.3,561,234.7
3255,150.6,477,326.4
3282,351.4,288,-63.4
3316,476.9,341,-135.9
3336,326.3,447,120.7
3366,150.6,368,217.4
3388,276.1,207,-69.1
