play_ms,cmd_steps,enc_steps,err_steps
34,301.2,388,86.8
48,225.9,387,161.1
78,476.9,320,-156.9
100,376.5,487,110.5
130,276.1,306,29.9
152,376.5,469,92.5
181,276.1,306,29.9
204,376.5,490,113.5
237,276.1,455,178.9
259,401.6,400,-1.6
292,225.9,415,189.1
311,527.1,365,-162.1
340,225.9,389,163.1
371,476.9,276,-200.9
403,401.6,518,116.4
422,451.8,292,-159.8
466,552.2,621,68.8
482,276.1,576,299.9
522,451.8,612,160.2
537,276.1,663,386.9
568,552.2,853,300.8
590,251.0,1111,860.0
625,451.8,1012,560.2
648,251.0,1125,874.0
678,426.7,874,447.3
703,426.7,989,562.3
729,426.7,693,266.3
753,451.8,804,352.2
787,251.0,651,400.0
806,451.8,556,104.2
848,276.1,658,381.9
873,401.6,605,203.4
895,276.1,716,439.9
919,552.2,598,45.8
946,276.1,729,452.9
976,401.6,600,198.4
1006,476.9,561,84.1
1037,225.9,650,424.1
1059,476.9,445,-31.9
1092,301.2,521,219.8
1115,527.1,383,-144.1
1146,326.3,454,127.7
1159,502.0,343,-159.0
1196,326.3,439,112.7
1212,527.1,269,-258.1
1256,527.1,361,-166.1
1271,326.3,181,-145.3
1300,527.1,151,-376.1
1323,301.2,36,-265.2
1352,527.1,216,-311.1
1375,301.2,138,-163.2
1404,527.1,262,-265.1
1426,276.1,394,117.9
1460,476.9,291,-185.9
1480,251.0,463,212.0
1513,451.8,354,-97.8
1534,251.0,528,277.0
1556,552.2,521,-31.2
1586,251.0,643,392.0
1615,426.7,442,15.3
1638,276.1,651,374.9
1678,251.0,511,260.0
1698,476.9,697,220.1
1727,225.9,835,609.1
1759,527.1,613,85.9
1783,301.2,799,497.8
1810,351.4,612,260.6
1835,326.3,813,486.7
1877,225.9,542,316.1
1896,527.1,676,148.9
1919,326.3,668,341.7
1948,527.1,561,33.9
1973,225.9,654,428.1
2003,476.9,583,106.1
2029,225.9,669,443.1
2066,276.1,538,261.9
2083,426.7,742,315.3
2117,251.0,802,551.0
2132,426.7,853,426.3
2170,276.1,632,355.9
2192,552.2,465,-87.2
2221,276.1,528,251.9
2246,527.1,399,-128.1
2271,301.2,332,30.8
2294,527.1,107,-420.1
2329,326.3,68,-258.3
2353,326.3,-92,-418.3
2381,527.1,143,-384.1
2405,301.2,23,-278.2
2433,527.1,226,-301.1
2458,301.2,365,63.8
2489,552.2,566,13.8
2513,251.0,734,483.0
2540,426.7,672,245.3
2564,251.0,780,529.0
2589,552.2,632,79.8
2618,276.1,717,440.9
2647,376.5,535,158.5
2670,476.9,643,166.1
2701,225.9,512,286.1
2723,502.0,601,99.0
2753,225.9,488,262.1
2776,527.1,543,15.9
2804,225.9,361,135.1
2823,527.1,181,-346.1
2864,401.6,201,-200.6
2886,451.8,-33,-484.8
2912,426.7,-36,-462.7
2939,426.7,-243,-669.7
2962,451.8,-111,-562.8
2992,225.9,-164,-389.9
3016,476.9,-25,-501.9
3045,225.9,-190,-415.9
3063,502.0,-279,-781.0
3097,225.9,-297,-522.9
3123,502.0,-392,-894.0
3152,376.5,-225,-601.5
3172,476.9,-383,-859.9
3202,401.6,-191,-592.6
3232,251.0,-317,-568.0
3266,552.2,-212,-764.2
3290,276.1,-296,-572.1
