play_ms,cmd_steps,enc_steps,err_steps
35,1756.9,1619,-137.9
347,1430.6,1504,73.4
357,1455.7,1441,-14.7
400,1756.9,1460,-296.9
420,1706.7,1561,-145.7
453,1480.8,1765,284.2
468,1455.7,1741,285.3
511,1706.7,1591,-115.7
830,1430.6,1655,224.4
845,1455.7,1544,88.3
886,1731.8,1449,-282.8
904,1731.8,1555,-176.8
933,1531.0,1644,113.0
963,1455.7,1529,73.3
996,1681.6,1432,-249.6
1012,1756.9,1521,-235.9
1047,1606.3,1698,91.7
1069,1455.7,1675,219.3
1096,1531.0,1488,-43.0
1126,1731.8,1531,-200.8
1156,1681.6,1694,12.4
1186,1455.7,1675,219.3
1211,1531.0,1521,-10.0
1248,1731.8,1479,-252.8
1263,1731.8,1563,-168.8
1295,1505.9,1677,171.1
1316,1430.6,1564,133.4
1346,1631.4,1437,-194.4
1369,1756.9,1510,-246.9
1396,1656.5,1696,39.5
1418,1505.9,1692,186.1
1450,1556.1,1490,-66.1
1471,1706.7,1429,-277.7
1501,1706.7,1565,-141.7
1532,1480.8,1600,119.2
1871,1556.1,1615,58.9
1880,1480.8,1563,82.2
1924,1581.2,1346,-235.2
1946,1731.8,1348,-383.8
1976,1681.6,1572,-109.6
2283,1706.7,1426,-280.7
2298,1756.9,1526,-230.9
2346,1480.8,1709,228.2
2360,1455.7,1628,172.3
2397,1681.6,1448,-233.6
2412,1756.9,1494,-262.9
2448,1581.2,1699,117.8
2464,1455.7,1701,245.3
2507,1631.4,1540,-91.4
2523,1756.9,1578,-178.9
2862,1756.9,1671,-85.9
2871,1731.8,1794,62.2
2915,1455.7,1859,403.3
2929,1430.6,1740,309.4
2964,1731.8,1616,-115.8
2986,1756.9,1765,8.1
3024,1455.7,1797,341.3
3039,1430.6,1708,277.4
3076,1706.7,1554,-152.7
3092,1756.9,1622,-134.9
3126,1531.0,1808,277.0
3140,1430.6,1781,350.4
3179,1631.4,1577,-54.4
3193,1756.9,1623,-133.9
3231,1531.0,1781,250.0
3250,1430.6,1750,319.4
3287,1631.4,1483,-148.4
3303,1756.9,1496,-260.9
3342,1531.0,1700,169.0
3352,1455.7,1656,200.3
3388,1556.1,1426,-130.1
3404,1706.7,1451,-255.7
3444,1606.3,1700,93.7
3467,1455.7,1663,207.3
3500,1631.4,1430,-201.4
3515,1706.7,1417,-289.7
3551,1606.3,1600,-6.3
3562,1505.9,1594,88.1
3601,1556.1,1378,-178.1
3610,1656.5,1361,-295.5
3658,1681.6,1608,-73.6
3673,1505.9,1622,116.1
3717,1581.2,1508,-73.2
3731,1731.8,1505,-226.8
3763,1656.5,1678,21.5
3784,1480.8,1694,213.2
3815,1505.9,1505,-0.9
3843,1731.8,1485,-246.8
3866,1731.8,1630,-101.8
3893,1480.8,1660,179.2
3923,1531.0,1463,-68.0
3951,1756.9,1449,-307.9
3976,1706.7,1645,-61.7
4009,1455.7,1678,222.3
4030,1556.1,1502,-54.1
4054,1706.7,1430,-276.7
4085,1681.6,1596,-85.6
4107,1505.9,1622,116.1
4140,1581.2,1425,-156.2
4165,1731.8,1384,-347.8
4193,1656.5,1513,-143.5
4218,1480.8,1509,28.2
4245,1531.0,1308,-223.0
4270,1756.9,1299,-457.9
4298,1706.7,1521,-185.7
4323,1455.7,1551,95.3
4361,1656.5,1361,-295.5
4376,1731.8,1362,-369.8
4406,1681.6,1585,-96.6
4429,1505.9,1598,92.1
4461,1606.3,1404,-202.3
4490,1756.9,1352,-404.9
4517,1631.4,1487,-144.4
4540,1430.6,1460,29.4
4571,1631.4,1215,-416.4
4590,1756.9,1228,-528.9
4624,1581.2,1382,-199.2
4648,1455.7,1311,-144.7
4977,1480.8,1138,-342.8
4987,1581.2,1120,-461.2
5031,1631.4,1325,-306.4
5046,1556.1,1344,-212.1
5084,1531.0,1147,-384.0
5098,1631.4,1117,-514.4
5136,1681.6,1301,-380.6
5150,1480.8,1318,-162.8
5195,1606.3,1174,-432.3
5210,1756.9,1172,-584.9
5236,1706.7,1371,-335.7
5259,1505.9,1404,-101.9
5296,1581.2,1174,-407.2
5318,1756.9,1177,-579.9
5348,1631.4,1403,-228.4
5374,1430.6,1373,-57.6
5400,1656.5,1186,-470.5
5417,1731.8,1228,-503.8
5456,1556.1,1446,-110.1
5475,1430.6,1365,-65.6
5509,1631.4,1196,-435.4
5532,1731.8,1273,-458.8
5555,1556.1,1470,-86.1
5584,1455.7,1360,-95.7
5613,1706.7,1287,-419.7
5643,1681.6,1463,-218.6
5676,1455.7,1465,9.3
5700,1606.3,1260,-346.3
5730,1756.9,1274,-482.9
5749,1681.6,1379,-302.6
5788,1455.7,1335,-120.7
5804,1606.3,1238,-368.3
5846,1681.6,1306,-375.6
5860,1505.9,1344,-161.9
5898,1505.9,1166,-339.9
6213,1706.7,958,-748.7
6226,1756.9,1007,-749.9
6263,1505.9,1218,-287.9
6293,1505.9,1073,-432.9
6325,1756.9,997,-759.9
6340,1681.6,1124,-557.6
6385,1455.7,1214,-241.7
6401,1631.4,1026,-605.4
6430,1731.8,969,-762.8
6446,1656.5,1046,-610.5
6489,1455.7,948,-507.7
6504,1631.4,857,-774.4
6543,1656.5,914,-742.5
6554,1556.1,921,-635.1
6594,1556.1,820,-736.1
6613,1731.8,799,-932.8
6643,1631.4,1017,-614.4
6658,1531.0,1035,-496.0
6695,1581.2,821,-760.2
6710,1756.9,810,-946.9
6748,1606.3,1061,-545.3
6762,1455.7,1061,-394.7
6805,1706.7,857,-849.7
6820,1756.9,925,-831.9
6864,1430.6,1151,-279.6
7179,1531.0,838,-693.0
7188,1631.4,848,-783.4
7232,1556.1,1105,-451.1
7242,1455.7,1087,-368.7
7291,1731.8,891,-840.8
7601,1681.6,1162,-519.6
7617,1556.1,1161,-395.1
7656,1556.1,965,-591.1
7670,1731.8,971,-760.8
7707,1606.3,1224,-382.3
7726,1455.7,1241,-214.7
7763,1706.7,1042,-664.7
7778,1756.9,1081,-675.9
7817,1480.8,1299,-181.8
7833,1480.8,1217,-263.8
7872,1756.9,1036,-720.9
7886,1706.7,1110,-596.7
7927,1455.7,1122,-333.7
7941,1631.4,1040,-591.4
7971,1731.8,1046,-685.8
7989,1656.5,1122,-534.5
8029,1480.8,956,-524.8
8053,1756.9,888,-868.9
8076,1681.6,1035,-646.6
8114,1455.7,949,-506.7
8134,1656.5,794,-862.5
8164,1706.7,898,-808.7
8188,1505.9,962,-543.9
8216,1505.9,804,-701.9
8242,1756.9,772,-984.9
8268,1656.5,940,-716.5
8288,1455.7,964,-491.7
8326,1681.6,779,-902.6
8348,1756.9,880,-876.9
8384,1430.6,1002,-428.6
8406,1556.1,856,-700.1
8437,1756.9,885,-871.9
8457,1606.3,1042,-564.3
8486,1455.7,938,-517.7
8804,1756.9,890,-866.9
8817,1681.6,956,-725.6
8863,1556.1,839,-717.1
8879,1681.6,824,-857.6
8924,1480.8,1123,-357.8
8938,1430.6,1076,-354.6
8975,1731.8,913,-818.8
8991,1706.7,1032,-674.7
9026,1430.6,1165,-265.6
9040,1531.0,1065,-466.0
9076,1756.9,974,-782.9
9091,1606.3,1028,-578.3
9136,1531.0,986,-545.0
9150,1731.8,959,-772.8
9180,1606.3,1119,-487.3
9203,1455.7,1147,-308.7
9236,1631.4,968,-663.4
9260,1706.7,1031,-675.7
9290,1455.7,1222,-233.7
9318,1531.0,1041,-490.0
9339,1731.8,953,-778.8
9376,1505.9,1120,-385.9
9401,1531.0,1047,-484.0
9424,1731.8,906,-825.8
9447,1706.7,965,-741.7
9475,1455.7,982,-473.7
9505,1631.4,807,-824.4
9529,1756.9,852,-904.9
9558,1505.9,1041,-464.9
9585,1531.0,905,-626.0
9607,1731.8,801,-930.8
9636,1606.3,990,-616.3
9667,1455.7,914,-541.7
9691,1731.8,782,-949.8
9723,1581.2,969,-612.2
9746,1430.6,931,-499.6
9775,1656.5,747,-909.5
9798,1756.9,823,-933.9
9835,1430.6,958,-472.6
9858,1581.2,810,-771.2
9882,1756.9,807,-949.9
9910,1480.8,1025,-455.8
9929,1430.6,942,-488.6
9963,1756.9,812,-944.9
9985,1656.5,989,-667.5
10014,1430.6,981,-449.6
10038,1606.3,808,-798.3
10069,1731.8,879,-852.8
10095,1455.7,995,-460.7
10130,1731.8,832,-899.8
10152,1706.7,896,-810.7
10185,1455.7,963,-492.7
10205,1531.0,797,-734.0
10235,1756.9,789,-967.9
10266,1480.8,943,-537.8
10288,1480.8,785,-695.8
10317,1756.9,698,-1058.9
10351,1480.8,906,-574.8
10373,1480.8,846,-634.8
10406,1756.9,712,-1044.9
10429,1631.4,861,-770.4
10458,1455.7,833,-622.7
10488,1731.8,715,-1016.8
10510,1606.3,761,-845.3
10528,1505.9,786,-719.9
10562,1656.5,644,-1012.5
10591,1681.6,717,-964.6
10619,1480.8,833,-647.8
10642,1581.2,655,-926.2
10666,1756.9,544,-1212.9
10697,1531.0,702,-829.0
10724,1505.9,557,-948.9
10754,1756.9,514,-1242.9
10796,1430.6,677,-753.6
10811,1556.1,557,-999.1
10839,1756.9,403,-1353.9
10866,1556.1,609,-947.1
10892,1505.9,645,-860.9
10917,1706.7,503,-1203.7
10939,1731.8,546,-1185.8
10970,1455.7,627,-828.7
10992,1656.5,461,-1195.5
11024,1681.6,469,-1212.6
11050,1430.6,523,-907.6
11077,1581.2,332,-1249.2
11100,1731.8,331,-1400.8
11131,1455.7,584,-871.7
11154,1531.0,517,-1014.0
11186,1756.9,536,-1220.9
11211,1480.8,699,-781.8
11242,1581.2,622,-959.2
11255,1681.6,576,-1105.6
11287,1656.5,777,-879.5
11311,1455.7,759,-696.7
11345,1731.8,458,-1273.8
11375,1606.3,587,-1019.3
11399,1430.6,600,-830.6
11427,1681.6,398,-1283.6
11449,1731.8,458,-1273.8
11478,1455.7,563,-892.7
11501,1631.4,405,-1226.4
11534,1706.7,418,-1288.7
11559,1480.8,490,-990.8
11587,1581.2,287,-1294.2
11613,1731.8,284,-1447.8
11640,1455.7,521,-934.7
11663,1531.0,401,-1130.0
11698,1756.9,462,-1294.9
11724,1480.8,622,-858.8
11747,1505.9,584,-921.9
11777,1756.9,536,-1220.9
11802,1505.9,706,-799.9
11830,1556.1,658,-898.1
11848,1681.6,632,-1049.6
11887,1531.0,898,-633.0
11911,1531.0,781,-750.0
11935,1731.8,626,-1105.8
11965,1581.2,751,-830.2
11992,1480.8,640,-840.8
12023,1756.9,599,-1157.9
12048,1631.4,788,-843.4
12075,1455.7,749,-706.7
12097,1681.6,609,-1072.6
12139,1531.0,810,-721.0
12456,1656.5,983,-673.5
12470,1455.7,988,-467.7
12512,1731.8,850,-881.8
12522,1756.9,904,-852.9
12564,1430.6,1163,-267.6
12579,1505.9,1088,-417.9
12616,1706.7,1066,-640.7
12632,1480.8,1147,-333.8
12666,1581.2,1023,-558.2
12679,1706.7,1032,-674.7
12722,1430.6,1240,-190.6
12737,1480.8,1143,-337.8
12775,1731.8,1077,-654.8
12790,1531.0,1177,-354.0
12827,1556.1,1079,-477.1
12842,1756.9,1037,-719.9
12879,1531.0,1248,-283.0
12892,1455.7,1246,-209.7
12935,1756.9,1141,-615.9
12950,1556.1,1308,-248.1
12992,1631.4,1296,-335.4
13003,1731.8,1304,-427.8
13042,1455.7,1459,3.3
13051,1455.7,1380,-75.7
13084,1731.8,1228,-503.8
13104,1681.6,1384,-297.6
13138,1430.6,1342,-88.6
13159,1631.4,1221,-410.4
13189,1706.7,1371,-335.7
13214,1430.6,1440,9.4
13241,1731.8,1290,-441.8
13264,1706.7,1422,-284.7
13294,1430.6,1507,76.4
13324,1706.7,1321,-385.7
13361,1480.8,1564,83.2
13386,1480.8,1558,77.2
13413,1756.9,1427,-329.9
13435,1606.3,1588,-18.3
13469,1480.8,1508,27.2
13488,1706.7,1379,-327.7
13518,1606.3,1579,-27.3
13540,1480.8,1579,98.2
13569,1706.7,1457,-249.7
13593,1606.3,1625,18.7
13621,1480.8,1693,212.2
13640,1706.7,1608,-98.7
13669,1706.7,1717,10.3
13695,1430.6,1737,306.4
13722,1706.7,1564,-142.7
13748,1706.7,1714,7.3
13778,1430.6,1831,400.4
13804,1731.8,1644,-87.8
13831,1581.2,1700,118.8
13849,1480.8,1650,169.2
13886,1731.8,1438,-293.8
13909,1681.6,1641,-40.6
13938,1430.6,1672,241.4
13963,1731.8,1505,-226.8
13987,1681.6,1583,-98.6
14016,1455.7,1578,122.3
14051,1756.9,1415,-341.9
14073,1556.1,1601,44.9
14100,1531.0,1621,90.0
