play_ms,cmd_steps,enc_steps,err_steps
29,1731.8,1618,-113.8
45,1756.9,1618,-138.9
74,1531.0,1625,94.0
98,1430.6,1535,104.4
126,1556.1,1365,-191.1
150,1756.9,1409,-347.9
174,1731.8,1600,-131.8
201,1505.9,1628,122.1
236,1480.8,1465,-15.8
256,1606.3,1396,-210.3
286,1756.9,1505,-251.9
316,1606.3,1632,25.7
339,1455.7,1611,155.3
369,1505.9,1411,-94.9
392,1731.8,1405,-326.8
423,1706.7,1552,-154.7
448,1556.1,1574,17.9
477,1455.7,1444,-11.7
511,1706.7,1361,-345.7
533,1756.9,1368,-388.9
555,1656.5,1463,-193.5
585,1455.7,1453,-2.7
607,1480.8,1312,-168.8
639,1706.7,1271,-435.7
661,1731.8,1476,-255.8
695,1505.9,1568,62.1
715,1430.6,1456,25.4
747,1606.3,1328,-278.3
771,1756.9,1409,-347.9
802,1581.2,1577,-4.2
830,1430.6,1556,125.4
856,1531.0,1350,-181.0
879,1681.6,1312,-369.6
909,1731.8,1490,-241.8
928,1606.3,1550,-56.3
958,1430.6,1512,81.4
982,1606.3,1355,-251.3
1013,1756.9,1395,-361.9
1034,1681.6,1509,-172.6
1064,1455.7,1516,60.3
1087,1455.7,1363,-92.7
1116,1681.6,1302,-379.6
1140,1731.8,1450,-281.8
1165,1606.3,1590,-16.3
1191,1430.6,1554,123.4
1218,1531.0,1414,-117.0
1255,1756.9,1491,-265.9
1277,1681.6,1611,-70.6
1307,1455.7,1613,157.3
1335,1531.0,1463,-68.0
1367,1756.9,1489,-267.9
1388,1731.8,1642,-89.8
1420,1455.7,1684,228.3
1438,1430.6,1589,158.4
1473,1706.7,1496,-210.7
1499,1756.9,1631,-125.9
1527,1556.1,1742,185.9
1551,1455.7,1673,217.3
1580,1656.5,1529,-127.5
1602,1756.9,1617,-139.9
1631,1606.3,1740,133.7
1671,1455.7,1717,261.3
1682,1505.9,1588,82.1
1717,1731.8,1524,-207.8
1737,1731.8,1641,-90.8
1767,1505.9,1706,200.1
1787,1430.6,1596,165.4
1816,1631.4,1445,-186.4
1846,1756.9,1595,-161.9
1872,1556.1,1686,129.9
1903,1455.7,1635,179.3
1923,1581.2,1551,-30.2
1956,1756.9,1594,-162.9
1978,1681.6,1728,46.4
2009,1455.7,1744,288.3
2043,1606.3,1548,-58.3
2068,1756.9,1465,-291.9
2093,1656.5,1652,-4.5
2118,1480.8,1689,208.2
2140,1480.8,1578,97.2
2164,1656.5,1488,-168.5
2194,1756.9,1608,-148.9
2220,1531.0,1680,149.0
2244,1430.6,1597,166.4
2274,1631.4,1419,-212.4
2299,1756.9,1544,-212.9
2327,1631.4,1728,96.6
2351,1430.6,1704,273.4
2382,1581.2,1510,-71.2
2402,1731.8,1506,-225.8
2435,1681.6,1712,30.4
2457,1505.9,1733,227.1
2488,1480.8,1549,68.2
2513,1706.7,1483,-223.7
2542,1706.7,1614,-92.7
2567,1531.0,1642,111.0
2596,1455.7,1474,18.3
2621,1706.7,1394,-312.7
2644,1756.9,1504,-252.9
2673,1556.1,1613,56.9
2707,1455.7,1451,-4.7
2729,1581.2,1346,-235.2
2758,1756.9,1457,-299.9
2782,1581.2,1600,18.8
2809,1455.7,1602,146.3
2832,1581.2,1527,-54.2
2867,1756.9,1618,-138.9
2892,1581.2,1763,181.8
2921,1430.6,1764,333.4
2943,1556.1,1656,99.9
2973,1756.9,1681,-75.9
3003,1606.3,1832,225.7
3029,1455.7,1756,300.3
3056,1556.1,1539,-17.1
3087,1756.9,1588,-168.9
3120,1531.0,1746,215.0
3142,1430.6,1696,265.4
3172,1631.4,1552,-79.4
3194,1756.9,1638,-118.9
3223,1606.3,1798,191.7
3251,1430.6,1755,324.4
3281,1631.4,1484,-147.4
3300,1756.9,1490,-266.9
3330,1606.3,1708,101.7
3348,1531.0,1687,156.0
3385,1556.1,1420,-136.1
3405,1706.7,1412,-294.7
3437,1681.6,1626,-55.6
3463,1455.7,1664,208.3
3486,1480.8,1525,44.2
3514,1706.7,1486,-220.7
3544,1681.6,1680,-1.6
3569,1505.9,1704,198.1
3601,1556.1,1519,-37.1
3920,1531.0,1479,-52.0
3928,1531.0,1450,-81.0
3966,1756.9,1603,-153.9
3986,1631.4,1680,48.6
4023,1480.8,1570,89.2
4046,1631.4,1500,-131.4
4086,1681.6,1701,19.4
4100,1505.9,1758,252.1
4132,1480.8,1675,194.2
4153,1656.5,1632,-24.5
4182,1731.8,1743,11.2
4207,1556.1,1799,242.9
4234,1455.7,1671,215.3
4259,1606.3,1581,-25.3
4293,1706.7,1691,-15.7
4319,1531.0,1765,234.0
4340,1480.8,1668,187.2
4370,1731.8,1485,-246.8
4394,1731.8,1619,-112.8
4424,1505.9,1718,212.1
4447,1455.7,1599,143.3
4480,1756.9,1477,-279.9
4505,1706.7,1608,-98.7
4535,1455.7,1651,195.3
4557,1480.8,1458,-22.8
4588,1731.8,1392,-339.8
4613,1681.6,1591,-90.6
4640,1455.7,1674,218.3
4663,1505.9,1545,39.1
4695,1756.9,1538,-218.9
4716,1706.7,1714,7.3
4747,1455.7,1756,300.3
4777,1556.1,1560,3.9
4806,1756.9,1533,-223.9
4837,1581.2,1715,133.8
4863,1455.7,1707,251.3
4891,1706.7,1524,-182.7
4914,1756.9,1548,-208.9
4942,1505.9,1673,167.1
4965,1430.6,1523,92.4
4998,1656.5,1382,-274.5
5017,1756.9,1508,-248.9
5047,1556.1,1668,111.9
5080,1531.0,1512,-19.0
5102,1731.8,1401,-330.8
5130,1681.6,1533,-148.6
5154,1480.8,1542,61.2
5183,1505.9,1336,-169.9
5208,1706.7,1312,-394.7
5235,1706.7,1526,-180.7
5259,1505.9,1557,51.1
5296,1581.2,1311,-270.2
5309,1681.6,1282,-399.6
5353,1531.0,1478,-53.0
5365,1455.7,1436,-19.7
5402,1656.5,1223,-433.5
5426,1756.9,1360,-396.9
5454,1556.1,1551,-5.1
5479,1430.6,1459,28.4
5506,1631.4,1281,-350.4
5528,1756.9,1389,-367.9
5559,1556.1,1579,22.9
5585,1455.7,1482,26.3
5612,1706.7,1324,-382.7
5637,1731.8,1477,-254.8
5665,1480.8,1580,99.2
5692,1531.0,1450,-81.0
5725,1756.9,1354,-402.9
5747,1681.6,1540,-141.6
5784,1455.7,1511,55.3
5806,1606.3,1351,-255.3
5838,1756.9,1437,-319.9
5860,1505.9,1571,65.1
5882,1455.7,1518,62.3
5910,1706.7,1418,-288.7
5944,1681.6,1596,-85.6
5968,1505.9,1646,140.1
5990,1505.9,1500,-5.9
6019,1681.6,1412,-269.6
6044,1681.6,1584,-97.6
6076,1455.7,1609,153.3
6101,1606.3,1431,-175.3
6132,1756.9,1385,-371.9
6157,1606.3,1493,-113.3
6188,1455.7,1404,-51.7
6211,1706.7,1286,-420.7
6238,1756.9,1373,-383.9
6268,1505.9,1506,0.1
6293,1505.9,1500,-5.9
6315,1706.7,1406,-300.7
6350,1581.2,1558,-23.2
6370,1430.6,1565,134.4
6393,1531.0,1336,-195.0
6421,1756.9,1342,-414.9
6454,1556.1,1539,-17.1
6474,1430.6,1464,33.4
6506,1631.4,1295,-336.4
6532,1731.8,1414,-317.8
6562,1480.8,1603,122.2
6586,1480.8,1460,-20.8
6614,1731.8,1350,-381.8
6638,1731.8,1546,-185.8
6666,1455.7,1621,165.3
6690,1581.2,1455,-126.2
6723,1756.9,1415,-341.9
6742,1606.3,1551,-55.3
6772,1455.7,1473,17.3
6797,1606.3,1340,-266.3
6826,1756.9,1462,-294.9
6858,1480.8,1577,96.2
6886,1531.0,1411,-120.0
6913,1756.9,1356,-400.9
6938,1656.5,1577,-79.5
6965,1430.6,1573,142.4
6987,1556.1,1401,-155.1
7017,1756.9,1437,-319.9
7040,1531.0,1613,82.0
7070,1505.9,1565,59.1
7093,1681.6,1534,-147.6
7124,1681.6,1705,23.4
7156,1430.6,1695,264.4
7180,1631.4,1507,-124.4
7213,1731.8,1537,-194.8
7234,1556.1,1647,90.9
7264,1480.8,1512,31.2
7289,1681.6,1435,-246.6
7319,1706.7,1610,-96.7
7343,1455.7,1683,227.3
7372,1606.3,1546,-60.3
7396,1756.9,1597,-159.9
7427,1556.1,1794,237.9
7450,1480.8,1724,243.2
7477,1656.5,1537,-119.5
7502,1706.7,1632,-74.7
7526,1531.0,1761,230.0
7552,1505.9,1613,107.1
7588,1756.9,1610,-146.9
7609,1681.6,1778,96.4
7638,1430.6,1793,362.4
7664,1656.5,1592,-64.5
7698,1706.7,1618,-88.7
7718,1505.9,1700,194.1
7749,1505.9,1608,102.1
7779,1756.9,1566,-190.9
8095,1480.8,1730,249.2
8106,1430.6,1621,190.4
8148,1731.8,1399,-332.8
8163,1706.7,1506,-200.7
8204,1455.7,1598,142.3
8218,1505.9,1510,4.1
8255,1731.8,1531,-200.8
8268,1656.5,1595,-61.5
8306,1480.8,1517,36.2
8320,1681.6,1461,-220.6
8361,1581.2,1556,-25.2
8377,1480.8,1552,71.2
8410,1656.5,1316,-340.5
8433,1756.9,1309,-447.9
8461,1505.9,1514,8.1
8483,1455.7,1398,-57.7
8513,1731.8,1287,-444.8
8550,1531.0,1554,23.0
8578,1455.7,1544,88.3
8601,1706.7,1488,-218.7
8627,1731.8,1647,-84.8
8655,1455.7,1751,295.3
8679,1505.9,1578,72.1
8710,1731.8,1529,-202.8
8733,1556.1,1710,153.9
8763,1480.8,1703,222.2
8786,1681.6,1615,-66.6
8813,1681.6,1753,71.4
8837,1480.8,1793,312.2
8868,1556.1,1542,-14.1
8891,1756.9,1549,-207.9
8922,1480.8,1721,240.2
8950,1556.1,1534,-22.1
8980,1756.9,1411,-345.9
9004,1606.3,1543,-63.3
9040,1531.0,1441,-90.0
9056,1656.5,1327,-329.5
9092,1606.3,1520,-86.3
9115,1455.7,1537,81.3
9140,1631.4,1369,-262.4
9178,1706.7,1396,-310.7
9201,1455.7,1481,25.3
9233,1631.4,1383,-248.4
9257,1756.9,1483,-273.9
9286,1505.9,1683,177.1
9310,1531.0,1538,7.0
9337,1731.8,1422,-309.8
9359,1706.7,1577,-129.7
9392,1455.7,1638,182.3
9415,1631.4,1470,-161.4
9442,1706.7,1554,-152.7
9465,1505.9,1629,123.1
9495,1531.0,1466,-65.0
9517,1731.8,1438,-293.8
9547,1606.3,1664,57.7
9571,1455.7,1642,186.3
9595,1656.5,1445,-211.5
9630,1606.3,1535,-71.3
9649,1505.9,1571,65.1
9672,1556.1,1432,-124.1
9705,1756.9,1319,-437.9
9727,1581.2,1437,-144.2
9760,1556.1,1342,-214.1
9785,1756.9,1243,-513.9
9804,1681.6,1367,-314.6
9834,1430.6,1413,-17.6
9863,1681.6,1243,-438.6
9897,1681.6,1484,-197.6
9923,1430.6,1537,106.4
9950,1706.7,1359,-347.7
9972,1731.8,1481,-250.8
10006,1455.7,1615,159.3
10026,1505.9,1445,-60.9
10055,1756.9,1387,-369.9
10087,1531.0,1612,81.0
10117,1531.0,1438,-93.0
10141,1756.9,1395,-361.9
10177,1505.9,1668,162.1
10193,1455.7,1661,205.3
10230,1756.9,1537,-219.9
10245,1706.7,1641,-65.7
10283,1480.8,1622,141.2
10298,1556.1,1543,-13.1
10336,1681.6,1657,-24.6
10349,1556.1,1692,135.9
10382,1606.3,1516,-90.3
10405,1756.9,1554,-202.9
10443,1455.7,1741,285.3
10465,1531.0,1546,15.0
10498,1756.9,1530,-226.9
10521,1505.9,1725,219.1
10553,1556.1,1678,121.9
10575,1756.9,1643,-113.9
10613,1480.8,1871,390.2
10635,1480.8,1828,347.2
10662,1756.9,1747,-9.9
10681,1656.5,1906,249.5
10715,1455.7,1909,453.3
10739,1631.4,1745,113.6
10766,1706.7,1815,108.3
10791,1430.6,1874,443.4
10822,1681.6,1701,19.4
10842,1756.9,1776,19.1
10872,1480.8,1892,411.2
10906,1606.3,1678,71.7
10929,1756.9,1704,-52.9
10960,1455.7,1911,455.3
10982,1531.0,1781,250.0
11011,1756.9,1663,-93.9
11034,1581.2,1782,200.8
11068,1480.8,1692,211.2
11379,1606.3,1814,207.7
11390,1430.6,1785,354.4
11440,1731.8,1657,-74.8
11460,1531.0,1753,222.0
11493,1531.0,1614,83.0
11507,1631.4,1575,-56.4
11545,1581.2,1741,159.8
11560,1430.6,1746,315.4
11598,1706.7,1473,-233.7
11609,1756.9,1529,-227.9
11652,1455.7,1719,263.3
11667,1531.0,1602,71.0
11710,1556.1,1653,96.9
12027,1756.9,1579,-177.9
12037,1731.8,1686,-45.8
12082,1556.1,1641,84.9
12094,1681.6,1606,-75.6
12140,1455.7,1806,350.3
12166,1531.0,1608,77.0
12194,1756.9,1425,-331.9
12214,1581.2,1561,-20.2
12244,1505.9,1503,-2.9
