play_ms,cmd_steps,enc_steps,err_steps
24,5270.6,2879,-2391.6
37,5358.4,2879,-2479.4
66,5490.2,2963,-2527.2
87,5446.3,3042,-2404.3
124,5094.9,3052,-2042.9
146,4831.4,2934,-1897.4
173,4611.8,2730,-1881.8
203,4611.8,2586,-2025.8
221,4787.5,2587,-2200.5
256,5094.9,2750,-2344.9
280,5402.4,2909,-2493.4
309,5490.2,3087,-2403.2
339,5358.4,3138,-2220.4
362,5051.0,3083,-1968.0
394,4699.6,2867,-1832.6
415,4611.8,2705,-1906.8
454,4743.5,2568,-2175.5
479,4963.1,2591,-2372.1
499,5226.7,2722,-2504.7
531,5490.2,2917,-2573.2
553,5446.3,3008,-2438.3
583,5138.8,3020,-2118.8
606,4875.3,2901,-1974.3
639,4611.8,2663,-1948.8
661,4655.7,2534,-2121.7
688,4831.4,2499,-2332.4
714,5182.7,2622,-2560.7
741,5446.3,2833,-2613.3
766,5490.2,2971,-2519.2
793,5226.7,3023,-2203.7
820,4831.4,2942,-1889.4
848,4655.7,2716,-1939.7
869,4611.8,2563,-2048.8
898,4787.5,2507,-2280.5
930,5270.6,2669,-2601.6
951,5446.3,2833,-2613.3
984,5402.4,3000,-2402.4
1006,5226.7,3011,-2215.7
1041,4699.6,2865,-1834.6
1061,4611.8,2670,-1941.8
1404,5182.7,2978,-2204.7
1417,5051.0,2910,-2141.0
1446,4655.7,2693,-1962.7
1471,4611.8,2487,-2124.8
1499,4831.4,2415,-2416.4
1522,5270.6,2528,-2742.6
1551,5490.2,2794,-2696.2
1583,5314.5,2935,-2379.5
1606,5007.1,2891,-2116.1
1638,4655.7,2671,-1984.7
1664,4655.7,2459,-2196.7
1694,5051.0,2416,-2635.0
1713,5314.5,2564,-2750.5
1745,5490.2,2820,-2670.2
1769,5358.4,2908,-2450.4
1799,4919.2,2861,-2058.2
1817,4655.7,2707,-1948.7
1858,4743.5,2475,-2268.5
1873,5007.1,2473,-2534.1
1905,5446.3,2641,-2805.3
1924,5490.2,2833,-2657.2
1957,5182.7,2917,-2265.7
1988,4743.5,2804,-1939.5
2007,4611.8,2555,-2056.8
2023,4655.7,2478,-2177.7
2065,5270.6,2549,-2721.6
2087,5446.3,2765,-2681.3
2113,5358.4,2921,-2437.4
2140,4919.2,2915,-2004.2
2172,4611.8,2642,-1969.8
2195,4655.7,2484,-2171.7
2225,5094.9,2480,-2614.9
2250,5446.3,2650,-2796.3
2279,5446.3,2890,-2556.3
2303,5051.0,2891,-2160.0
2331,4655.7,2699,-1956.7
2353,4611.8,2498,-2113.8
2388,4963.1,2433,-2530.1
2412,5402.4,2540,-2862.4
2444,5402.4,2848,-2554.4
2473,4963.1,2877,-2086.1
2498,4699.6,2725,-1974.6
2519,4611.8,2527,-2084.8
2548,4919.2,2454,-2465.2
2572,5402.4,2654,-2748.4
2601,5446.3,2907,-2539.3
2934,5182.7,2917,-2265.7
2944,5007.1,2855,-2152.1
2987,4611.8,2460,-2151.8
3001,4787.5,2420,-2367.5
3040,5446.3,2597,-2849.3
3055,5490.2,2714,-2776.2
3097,5051.0,2904,-2147.0
3111,4699.6,2840,-1859.6
3143,4655.7,2544,-2111.7
3167,4963.1,2538,-2425.1
3202,5490.2,2798,-2692.2
3216,5446.3,2902,-2544.3
3257,4831.4,2958,-1873.4
3273,4611.8,2800,-1811.8
3311,5007.1,2534,-2473.1
3326,5182.7,2574,-2608.7
3371,5314.5,2962,-2352.5
3385,5138.8,2981,-2157.8
3422,4611.8,2707,-1904.8
3445,4743.5,2547,-2196.5
3474,5314.5,2571,-2743.5
3500,5446.3,2847,-2599.3
3528,5182.7,3020,-2162.7
3550,4655.7,2934,-1721.7
3578,4611.8,2642,-1969.8
3596,4875.3,2620,-2255.3
3630,5490.2,2867,-2623.2
3655,5358.4,3049,-2309.4
3683,4787.5,3054,-1733.5
3712,4611.8,2850,-1761.8
3737,4919.2,2679,-2240.2
3762,5446.3,2776,-2670.3
3786,5446.3,3014,-2432.3
3818,4963.1,3110,-1853.1
3837,4655.7,2887,-1768.7
3861,4787.5,2719,-2068.5
3892,5358.4,2785,-2573.4
3921,5402.4,3107,-2295.4
3951,4875.3,3163,-1712.3
3976,4611.8,2912,-1699.8
3999,4699.6,2682,-2017.6
4027,5270.6,2675,-2595.6
4052,5446.3,2954,-2492.3
4078,5138.8,3133,-2005.8
4100,4611.8,3053,-1558.8
4131,4787.5,2785,-2002.5
4156,5226.7,2806,-2420.7
4185,5490.2,3167,-2323.2
4208,5182.7,3286,-1896.7
4239,4655.7,3134,-1521.7
