play_ms,cmd_steps,enc_steps,err_steps
34,5820.3,5571,-249.3
49,5776.9,5657,-119.9
76,5429.4,5784,354.6
102,5299.1,5493,193.9
126,5472.8,5279,-193.8
153,5820.3,5463,-357.3
482,5472.8,5389,-83.8
495,5603.2,5449,-154.2
541,5603.2,5948,344.8
553,5429.4,5922,492.6
584,5299.1,5605,305.9
605,5516.3,5481,-35.3
644,5776.9,5846,69.1
666,5559.7,5972,412.3
698,5255.7,5712,456.3
721,5559.7,5424,-135.7
742,5776.9,5468,-308.9
772,5603.2,5771,167.8
802,5255.7,5593,337.3
829,5386.0,5276,-110.0
864,5820.3,5353,-467.3
879,5776.9,5539,-237.9
914,5299.1,5603,303.9
939,5342.5,5298,-44.5
969,5733.5,5264,-469.5
988,5776.9,5585,-191.9
1021,5299.1,5712,412.9
1045,5342.5,5421,78.5
1079,5733.5,5352,-381.5
1098,5776.9,5648,-128.9
1129,5386.0,5833,447.0
1148,5255.7,5532,276.3
1183,5733.5,5351,-382.5
1203,5776.9,5671,-105.9
1241,5299.1,5781,481.9
1265,5342.5,5449,106.5
1294,5776.9,5359,-417.9
1315,5776.9,5701,-75.9
1344,5342.5,5815,472.5
1375,5386.0,5351,-35.0
1399,5690.0,5335,-355.0
1430,5603.2,5798,194.8
1448,5429.4,5787,357.6
1486,5429.4,5366,-63.4
1509,5733.5,5400,-333.5
1536,5690.0,5828,138.0
1559,5386.0,5839,453.0
1588,5342.5,5412,69.5
1612,5776.9,5337,-439.9
1647,5603.2,5762,158.8
1671,5255.7,5686,430.3
1700,5603.2,5222,-381.2
1726,5820.3,5419,-401.3
1755,5472.8,5789,316.2
1779,5255.7,5557,301.3
1807,5559.7,5205,-354.7
1831,5776.9,5441,-335.9
1863,5342.5,5751,408.5
1887,5299.1,5403,103.9
1914,5690.0,5192,-498.0
1943,5690.0,5608,-82.0
1979,5255.7,5479,223.3
2005,5516.3,5163,-353.3
2031,5820.3,5282,-538.3
2060,5386.0,5750,364.0
2083,5255.7,5692,436.3
2113,5690.0,5336,-354.0
2137,5776.9,5489,-287.9
2165,5342.5,5733,390.5
2190,5386.0,5392,6.0
2217,5733.5,5200,-533.5
2239,5776.9,5531,-245.9
2273,5255.7,5710,454.3
2296,5429.4,5369,-60.4
2323,5820.3,5465,-355.3
2348,5603.2,5772,168.8
2375,5255.7,5628,372.3
2401,5690.0,5328,-362.0
2429,5820.3,5479,-341.3
2458,5386.0,5556,170.0
2483,5386.0,5219,-167.0
2511,5820.3,4938,-882.3
2533,5646.6,5333,-313.6
2559,5299.1,5361,61.9
2586,5472.8,4939,-533.8
