play_ms,cmd_steps,enc_steps,err_steps
31,825.3,578,-247.3
47,825.3,659,-166.3
76,434.4,877,442.6
98,260.6,558,297.4
128,477.8,271,-206.8
153,825.3,421,-404.3
179,738.4,766,27.6
200,347.5,750,402.5
231,347.5,419,71.5
256,608.1,253,-355.1
284,825.3,403,-422.3
308,651.5,628,-23.5
336,304.0,518,214.0
358,347.5,242,-105.5
390,825.3,232,-593.3
413,781.8,538,-243.8
452,304.0,707,403.0
466,304.0,462,158.0
510,825.3,219,-606.3
524,825.3,459,-366.3
554,477.8,800,322.2
569,347.5,678,330.5
606,521.2,193,-328.2
621,781.8,238,-543.8
663,564.7,700,135.3
677,434.4,636,201.6
717,434.4,173,-261.4
731,738.4,142,-596.4
760,738.4,551,-187.4
781,477.8,618,140.2
812,304.0,305,1.0
831,521.2,185,-336.2
872,781.8,388,-393.8
884,695.0,486,-209.0
921,304.0,327,23.0
934,347.5,203,-144.5
973,825.3,285,-540.3
988,825.3,496,-329.3
1035,260.6,471,210.4
1050,477.8,310,-167.8
1083,825.3,288,-537.3
1105,695.0,585,-110.0
1138,304.0,515,211.0
1158,347.5,205,-142.5
1187,781.8,195,-586.8
1214,695.0,543,-152.0
1247,304.0,623,319.0
1273,477.8,271,-206.8
1301,825.3,208,-617.3
1316,781.8,475,-306.8
1353,304.0,528,224.0
1383,521.2,222,-299.2
1408,825.3,296,-529.3
1433,608.1,702,93.9
1456,347.5,772,424.5
1479,304.0,460,156.0
1510,825.3,310,-515.3
1534,695.0,682,-13.0
1561,304.0,859,555.0
1585,390.9,500,109.1
1617,781.8,541,-240.8
1645,608.1,842,233.9
1668,304.0,978,674.0
1693,477.8,588,110.2
1724,825.3,555,-270.3
1747,651.5,836,184.5
1777,260.6,699,438.4
1797,434.4,370,-64.4
1826,825.3,451,-374.3
1860,390.9,816,425.1
1886,304.0,577,273.0
1910,738.4,312,-426.4
1947,695.0,711,16.0
1970,304.0,912,608.0
1994,390.9,636,245.1
2022,825.3,501,-324.3
2050,564.7,815,250.3
2085,304.0,751,447.0
2100,564.7,542,-22.7
2133,825.3,470,-355.3
2155,521.2,681,159.8
2182,304.0,398,94.0
2205,608.1,224,-384.1
2238,781.8,543,-238.8
2260,347.5,738,390.5
2288,304.0,438,134.0
2311,781.8,257,-524.8
2341,608.1,555,-53.1
2367,304.0,483,179.0
2393,521.2,89,-432.2
2424,825.3,334,-491.3
2467,304.0,611,307.0
2481,434.4,348,-86.4
2513,825.3,166,-659.3
2539,651.5,451,-200.5
2565,260.6,391,130.4
2588,477.8,104,-373.8
2621,738.4,352,-386.4
2643,390.9,651,260.1
2673,434.4,440,5.6
2697,781.8,446,-335.8
2726,608.1,890,281.9
2752,260.6,775,514.4
2780,738.4,338,-400.4
2805,825.3,584,-241.3
2833,347.5,810,462.5
2863,521.2,388,-133.2
2888,825.3,194,-631.3
2909,695.0,466,-229.0
2945,304.0,372,68.0
2965,651.5,50,-601.5
2994,738.4,446,-292.4
3017,390.9,561,170.1
3050,651.5,140,-511.5
3072,825.3,132,-693.3
3104,390.9,536,145.1
3127,304.0,247,-57.0
3147,651.5,47,-604.5
3177,738.4,463,-275.4
3206,260.6,535,274.4
3238,651.5,113,-538.5
3267,738.4,513,-225.4
3290,260.6,728,467.4
3319,477.8,265,-212.8
3342,825.3,327,-498.3
3382,260.6,834,573.4
3396,347.5,648,300.5
3431,781.8,414,-367.8
3442,651.5,614,-37.5
3479,260.6,603,342.4
3490,564.7,497,-67.7
3538,608.1,798,189.9
3552,304.0,854,550.0
3584,651.5,513,-138.5
3603,825.3,767,-58.3
3637,347.5,902,554.5
3662,521.2,505,-16.2
3692,781.8,338,-443.8
3719,434.4,627,192.6
3749,390.9,271,-119.9
3775,825.3,213,-612.3
3802,347.5,626,278.5
3827,347.5,260,-87.5
