play_ms,cmd_steps,enc_steps,err_steps
26,738.4,554,-184.4
42,825.3,555,-270.3
67,477.8,739,261.2
85,304.0,635,331.0
115,304.0,273,-31.0
136,695.0,277,-418.0
166,825.3,631,-194.3
185,564.7,742,177.3
216,347.5,495,147.5
234,390.9,288,-102.9
266,608.1,347,-261.1
285,825.3,602,-223.3
315,651.5,773,121.5
335,260.6,550,289.4
366,347.5,248,-99.5
386,781.8,383,-398.8
422,695.0,760,65.0
446,477.8,788,310.2
470,304.0,441,137.0
486,521.2,296,-225.2
523,825.3,534,-291.3
541,738.4,695,-43.4
569,304.0,551,247.0
595,304.0,280,-24.0
619,738.4,247,-491.4
642,825.3,488,-337.3
677,477.8,693,215.2
686,304.0,505,201.0
725,521.2,174,-347.2
745,738.4,292,-446.4
777,695.0,675,-20.0
794,477.8,669,191.2
823,304.0,264,-40.0
844,521.2,134,-387.2
880,825.3,495,-330.3
894,651.5,643,-8.5
929,260.6,404,143.4
943,347.5,202,-145.5
979,781.8,352,-429.8
994,825.3,583,-242.3
1026,390.9,614,223.1
1045,260.6,372,111.4
1077,651.5,218,-433.5
1100,781.8,511,-270.8
1129,521.2,723,201.8
1148,304.0,434,130.0
1177,477.8,239,-238.8
1200,825.3,432,-393.3
1232,695.0,761,66.0
1251,260.6,646,385.4
1278,347.5,326,-21.5
1302,825.3,406,-419.3
1330,781.8,769,-12.8
1350,347.5,786,438.5
1388,477.8,465,-12.8
1405,738.4,233,-505.4
1430,825.3,479,-346.3
1452,434.4,635,200.6
1477,260.6,419,158.4
1502,651.5,189,-462.5
1529,825.3,423,-402.3
1552,521.2,684,162.8
1579,304.0,532,228.0
1602,564.7,248,-316.7
1633,781.8,415,-366.8
1652,608.1,718,109.9
1681,347.5,686,338.5
1702,477.8,344,-133.8
1729,738.4,351,-387.4
1757,651.5,697,45.5
1778,390.9,647,256.1
1803,390.9,281,-109.9
1829,695.0,195,-500.0
1852,738.4,574,-164.4
1881,434.4,692,257.6
1900,390.9,322,-68.9
1927,651.5,209,-442.5
1957,738.4,597,-141.4
1977,477.8,660,182.2
2001,347.5,324,-23.5
2030,608.1,183,-425.1
2053,781.8,481,-300.8
2083,521.2,577,55.8
2106,347.5,306,-41.5
2132,608.1,301,-307.1
2153,781.8,618,-163.8
2183,521.2,705,183.8
2203,347.5,414,66.5
2232,608.1,336,-272.1
2260,781.8,632,-149.8
2283,521.2,634,112.8
2307,347.5,345,-2.5
2334,825.3,380,-445.3
2359,738.4,667,-71.4
2384,304.0,595,291.0
2403,390.9,329,-61.9
2443,825.3,353,-472.3
2452,695.0,555,-140.0
2491,260.6,488,227.4
2509,434.4,273,-161.4
2545,825.3,475,-350.3
2561,651.5,677,25.5
2591,260.6,481,220.4
2608,477.8,251,-226.8
2637,825.3,501,-324.3
2659,608.1,742,133.9
2690,304.0,477,173.0
2704,564.7,331,-233.7
2736,781.8,570,-211.8
2759,521.2,732,210.8
2793,347.5,399,51.5
2807,651.5,311,-340.5
2847,695.0,675,-20.0
2860,390.9,722,331.1
2894,477.8,311,-166.8
2906,738.4,350,-388.4
2941,564.7,727,162.3
2955,304.0,638,334.0
2997,608.1,171,-437.1
3010,825.3,311,-514.3
3044,434.4,621,186.6
3060,260.6,393,132.4
3094,738.4,219,-519.4
3113,825.3,475,-350.3
3144,347.5,583,235.5
3164,304.0,268,-36.0
3194,825.3,367,-458.3
3216,738.4,684,-54.4
3244,260.6,484,223.4
3266,434.4,223,-211.4
3290,825.3,552,-273.3
3313,564.7,819,254.3
3339,347.5,394,46.5
3365,608.1,296,-312.1
3389,695.0,647,-48.0
3416,390.9,676,285.1
3443,477.8,349,-128.8
3467,781.8,538,-243.8
3489,521.2,809,287.8
3517,390.9,629,238.1
3546,695.0,477,-218.0
3566,825.3,787,-38.3
3597,304.0,790,486.0
3617,608.1,472,-136.1
3644,825.3,579,-246.3
3667,390.9,845,454.1
3696,304.0,574,270.0
3718,825.3,423,-402.3
3744,738.4,770,31.6
3767,260.6,740,479.4
3794,477.8,378,-99.8
3817,781.8,566,-215.8
3847,521.2,834,312.8
3868,390.9,552,161.1
3894,738.4,382,-356.4
3918,564.7,740,175.3
3947,304.0,704,400.0
3969,695.0,392,-303.0
3994,825.3,571,-254.3
4019,304.0,761,457.0
4048,347.5,352,4.5
4068,825.3,330,-495.3
4098,651.5,691,39.5
4118,304.0,433,129.0
4148,608.1,158,-450.1
4168,651.5,531,-120.5
4198,347.5,567,219.5
4218,608.1,320,-288.1
4248,825.3,476,-349.3
4268,347.5,662,314.5
4299,304.0,298,-6.0
4318,825.3,350,-475.3
4349,651.5,728,76.5
4368,304.0,483,179.0
4398,608.1,199,-409.1
4418,651.5,553,-98.5
4449,347.5,552,204.5
4470,608.1,293,-315.1
4501,651.5,546,-105.5
4523,347.5,682,334.5
4550,651.5,304,-347.5
4585,608.1,391,-217.1
4606,304.0,697,393.0
4620,347.5,445,97.5
4648,695.0,350,-345.0
4676,564.7,671,106.3
4700,390.9,389,-1.9
4721,738.4,197,-541.4
4749,781.8,509,-272.8
4777,260.6,462,201.4
4800,781.8,144,-637.8
4825,781.8,466,-315.8
4854,260.6,516,255.4
4871,521.2,243,-278.2
4900,695.0,364,-331.0
4921,390.9,593,202.1
4951,608.1,287,-321.1
4971,825.3,323,-502.3
5001,304.0,655,351.0
5020,347.5,376,28.5
5051,825.3,271,-554.3
5075,521.2,601,79.8
5100,434.4,341,-93.4
5128,781.8,167,-614.8
5151,434.4,593,158.6
5175,304.0,509,205.0
5200,825.3,329,-496.3
5228,651.5,628,-23.5
5260,347.5,431,83.5
5272,695.0,305,-390.0
5310,521.2,548,26.8
5329,260.6,453,192.4
5352,781.8,139,-642.8
5375,738.4,395,-343.4
5404,304.0,349,45.0
5421,608.1,106,-502.1
5460,608.1,339,-269.1
5471,304.0,326,22.0
5504,738.4,-17,-755.4
5520,781.8,162,-619.8
5558,260.6,336,75.4
5571,564.7,71,-493.7
5602,651.5,229,-422.5
5625,304.0,386,82.0
5658,695.0,-10,-705.0
5671,825.3,182,-643.3
5710,260.6,368,107.4
5721,521.2,106,-415.2
5754,651.5,304,-347.5
5770,347.5,494,146.5
5803,695.0,190,-505.0
5821,781.8,324,-457.8
5853,260.6,496,235.4
5878,564.7,208,-356.7
5908,651.5,519,-132.5
5928,304.0,573,269.0
5954,738.4,215,-523.4
5978,781.8,401,-380.8
6003,304.0,428,124.0
6022,608.1,155,-453.1
6056,608.1,406,-202.1
6073,304.0,502,198.0
6104,781.8,251,-530.8
6127,738.4,496,-242.4
6162,347.5,367,19.5
6186,825.3,213,-612.3
6211,477.8,564,86.2
6232,260.6,322,61.4
6265,825.3,420,-405.3
6283,608.1,569,-39.1
6313,434.4,194,-240.4
6333,781.8,411,-370.8
6366,347.5,534,186.5
6385,695.0,251,-444.0
6416,825.3,512,-313.3
6435,260.6,536,275.4
6469,825.3,127,-698.3
6487,564.7,431,-133.7
6519,477.8,370,-107.8
6545,825.3,188,-637.3
