id,text,description,source_description
mq_0000,"Do, or do not. There is no try.",Movie quote from Star Wars: Episode V - The Empire Strikes Back (1890),Star Wars: Episode V - The Empire Strikes Back (1890)
mq_0001,Listen to them. Children of the night. What music they make.,Movie quote from Dracula (1931),Dracula (1931)
mq_0002,It's alive! It's alive!,Movie quote from Frankenstein (1931),Frankenstein (1931)
mq_0003,"Oh, no, it wasn't the airplanes. It was Beauty killed the Beast.",Movie quote from King Kong (1933),King Kong (1933)
mq_0004,"Magic Mirror on the wall, who is the fairest one of all?",Movie quote from Snow White and the Seven Dwarves (1937),Snow White and the Seven Dwarves (1937)
mq_0005,"Elementary, my dear Watson.",Movie quote from The Adventures of Sherlock Holmes (1939),The Adventures of Sherlock Holmes (1939)
mq_0006,"I'll get you, my pretty, and your little dog, too!",Movie quote from The Wizard of Oz (1939),The Wizard of Oz (1939)
mq_0007,"After all, tomorrow is another day!",Movie quote from Gone With the Wind (1939),Gone With the Wind (1939)
mq_0008,"Frankly, my dear, I don't give a damn.",Movie quote from Gone with the Wind (1939),Gone with the Wind (1939)
mq_0009,"Toto, I've got a feeling we're not in Kansas anymore.",Movie quote from The Wizard of Oz (1939),The Wizard of Oz (1939)
mq_0010,There's no place like home.,Movie quote from The Wizard of Oz (1939),The Wizard of Oz (1939)
mq_0011,"As God is my witness, I'll never be hungry again.",Movie quote from Gone with the Wind (1939),Gone with the Wind (1939)
mq_0012,"It's gone forever, that funny young, lost look I loved won't ever come back. I killed that when I told you about Rebecca. It's gone. In a few hours, you've grown so much older.",Movie quote from Rebecca (1940),Rebecca (1940)
mq_0013,"Here's looking at you, kid.",Movie quote from Casablanca (1942),Casablanca (1942)
mq_0014,"Play it, Sam. Play 'As Time Goes By.",Movie quote from Casablanca (1942),Casablanca (1942)
mq_0015,We'll always have Paris.,Movie quote from Casablanca (1942),Casablanca (1942)
mq_0016,Round up the usual suspects.,Movie quote from Casablanca (1942),Casablanca (1942)
mq_0017,This is the beginning of a beautiful friendship.,Movie quote from Casablanca (1942),Casablanca (1942)
mq_0018,"When it comes to women, you’re a true democrat.",Movie quote from Casablanca (1942),Casablanca (1942)
mq_0019,I am big! It's the pictures that got small.,Movie quote from Sunset Blvd. (1950),Sunset Blvd. (1950)
mq_0020,Nobody ever lies about being lonely.,Movie quote from Here to Eternity (1953),Here to Eternity (1953)
mq_0021,"You don't understand! I coulda had class. I coulda been a contender. I could've been somebody, instead of a bum, which is what I am.",Movie quote from On The Waterfront (1954),On The Waterfront (1954)
mq_0022,"Where we're going, we don't need roads",Movie quote from Back to the future (1958),Back to the future (1958)
mq_0023,"Life is a banquet, and most poor suckers are starving to death!",Movie quote from Auntie Mame (1958),Auntie Mame (1958)
mq_0024,Well nobody is perfect,Movie quote from Some Like It Hot (1959),Some Like It Hot (1959)
mq_0025,"My name is Bond, James Bond.",Movie quote from Dr. No (1962),Dr. No (1962)
mq_0026,Bond. James Bond,Movie quote from Dr. No (1962),Dr. No (1962)
mq_0027,I don't understand. He meets a girl that can give him a new life and he pushes her away? Because he doesn't know how to love.,Movie quote from 8 1⁄2  (1963),8 1⁄2  (1963)
mq_0028,"You expect me to talk? No, Mr Bond, I expect you to die!",Movie quote from Goldfinger (1964),Goldfinger (1964)
mq_0029,"A martini. Shaken, not stirred.",Movie quote from Goldfinger  (1964),Goldfinger  (1964)
mq_0030,"Gentlemen, you can't fight in here! This is the War Room!",Movie quote from Dr. Strangelove (1964),Dr. Strangelove (1964)
mq_0031,What we've got here is a failure to communicate.,Movie quote from Cool Hand Luke (1967),Cool Hand Luke (1967)
mq_0032,They call me Mister Tibbs!,Movie quote from In the Heat of the Night (1967),In the Heat of the Night (1967)
mq_0033,"Mrs. Robinson, you're trying to seduce me. Aren't you?",Movie quote from The Graduate (1967),The Graduate (1967)
mq_0034,You only live twice:Once when you are born And once when you look death in the face,Movie quote from You only live twice (1967),You only live twice (1967)
mq_0035,We rob banks.,Movie quote from Bonnie and Clyde (1967),Bonnie and Clyde (1967)
mq_0036,"Take your stinking paws off me, you damned dirty ape!",Movie quote from Planet of the Apes (1968),Planet of the Apes (1968)
mq_0037,"Hello, gorgeous.",Movie quote from Funny Girl (1968),Funny Girl (1968)
mq_0038,Love means never having to say you're sorry,Movie quote from Love Story (1970),Love Story (1970)
mq_0039,Public opinion has a way of changing.,Movie quote from A Clockwork Orange (1971),A Clockwork Orange (1971)
mq_0040,"Drop the gun, take the cannoli.",Movie quote from The Godfather (1972),The Godfather (1972)
mq_0041,A man who doesn't spend time with his family can never be a real man.,Movie quote from The Godfather (1972),The Godfather (1972)
mq_0042,I'm going to make him an offer he can't refuse.,Movie quote from The Godfather (1972),The Godfather (1972)
mq_0043,"Great men are not born great, they grow great.",Movie quote from The Godfather (1972),The Godfather (1972)
mq_0044,I'm gonna make him an offer he can't refuse,Movie quote from The Godfather (1972),The Godfather (1972)
mq_0045,"Father Dyer: My idea of Heaven is a solid white nightclub with me as a headliner for all eternity, and they LOVE me!!",Movie quote from The Exorcist (1973),The Exorcist (1973)
mq_0046,"Men, you are about to embark on a great crusade to stamp out runaway decency in the west. Now you men will only be risking your lives, whilst I will be risking an almost certain Academy Award nomination for Best Supporting Actor.",Movie quote from Blazing Saddles (1974),Blazing Saddles (1974)
mq_0047,"What did you expect? 'Welcome, sonny'? 'Make yourself at home'? 'Marry my daughter'? You've got to remember that these are just simple farmers. These are people of the land. The common clay of the new West. You know... morons.",Movie quote from Blazing Saddles (1974),Blazing Saddles (1974)
mq_0048,"Wait Master, it might be dangerous... you go first.",Movie quote from Young Frankenstein (1974),Young Frankenstein (1974)
mq_0049,What's a dazzling urbanite like you doing in a rustic setting like this?,Movie quote from Blazing Saddles (1974),Blazing Saddles (1974)
mq_0050,"Please! Remain in your seats, I beg you! We are not children here, we are scientists! I assure you there is nothing to fear!",Movie quote from Young Frankenstein (1974),Young Frankenstein (1974)
mq_0051,"Keep your friends close, but your enemies closer.",Movie quote from The Godfather II (1974),The Godfather II (1974)
mq_0052,"Now I don't have to tell you good folks what's been happening in our beloved little town. Sheriff murdered, crops burned, stores looted, people stampeded, and cattle raped. The time has come to act, and act fast. I'm leaving.",Movie quote from Blazing Saddles (1974),Blazing Saddles (1974)
mq_0053,You're gonna need a bigger boat.,Movie quote from Jaws (1975),Jaws (1975)
mq_0054,We are the Knights who say... Ni!,Movie quote from Monty Python and the Holy Grail (1975),Monty Python and the Holy Grail (1975)
mq_0055,It’s just a flesh wound.,Movie quote from Monty Python and the Holy Grail (1975),Monty Python and the Holy Grail (1975)
mq_0056,Run Away!,Movie quote from Monty Python and the Holy Grail (1975),Monty Python and the Holy Grail (1975)
mq_0057,"Yeah, to you, it's Thanksgiving; to me, it's Thursday.",Movie quote from Rocky (1976),Rocky (1976)
mq_0058,You talking to me?,Movie quote from Taxi Driver (1976),Taxi Driver (1976)
mq_0059,"Yo, Adrian!!.",Movie quote from Rocky (1976),Rocky (1976)
mq_0060,Is it safe?,Movie quote from Marathon man (1976),Marathon man (1976)
mq_0061,"If you strike me down, I shall become more powerful than you could possibly imagine.",Movie quote from Star Wars (1977),Star Wars (1977)
mq_0062,"It'll be just like Beggar's Canyon, back home",Movie quote from Star Wars (1977),Star Wars (1977)
mq_0063,May the Force be with you.,Movie quote from Star Wars (1977),Star Wars (1977)
mq_0064,May the force be with you,Movie quote from Star Wars (1977),Star Wars (1977)
mq_0065,When I left you I was but the learner. Now I am the master.,Movie quote from Star Wars Episode IV - A New Hope (1977),Star Wars Episode IV - A New Hope (1977)
mq_0066,That’s no moon…it’s a space station,Movie quote from Star Wars Episode IV - A New Hope (1977),Star Wars Episode IV - A New Hope (1977)
mq_0067,"All right, but apart from the sanitation, medicine, education, wine, public order, irrigation, roads, the fresh water system and public health, what have the Romans ever done for us?",Movie quote from Monty Python's Life of Brian (1979),Monty Python's Life of Brian (1979)
mq_0068,"Oh! It's blessed are the meek! I'm glad they're getting something, they had a hell of a time...",Movie quote from Monty Python's Life of Brian (1979),Monty Python's Life of Brian (1979)
mq_0069,Always look on the Bright Side of Life ... Always look on the Light Side of Life.,Movie quote from Monty Python's Life of Brian (1979),Monty Python's Life of Brian (1979)
mq_0070,I love the smell of napalm in the morning,Movie quote from Apocalypse Now (1979),Apocalypse Now (1979)
mq_0071,"Choose the sword, and you will join me. Choose the ball and you join your mother, in death. You don’t understand my words, but you must choose. So… come boy, choose life or death.",Movie quote from Shogun Assassin (1980),Shogun Assassin (1980)
mq_0072,"Joey, have you ever been in a turkish prison?",Movie quote from Airplane (1980),Airplane (1980)
mq_0073,Looks like I picked the wrong week to quit sniffing glue.,Movie quote from Airplane (1980),Airplane (1980)
mq_0074,You must unlearn what you have learned.,Movie quote from Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode V - The Empire Strikes Back (1980)
mq_0075,"Little pigs, little pigs, let me come in! Not by the hair on your chinny chin chin? Then I'll huff... And I'll puff... And I'll blow your house in!",Movie quote from The Shining (1980),The Shining (1980)
mq_0076,"Do, or do not. There is no 'try'.",Movie quote from Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode V - The Empire Strikes Back (1980)
mq_0077,"Luke, I am your father.","Movie quote from Star Wars, Empire Strikes Back (1980)","Star Wars, Empire Strikes Back (1980)"
mq_0078,Here's Johnny!,Movie quote from The Shining (1980),The Shining (1980)
mq_0079,"It's not the years, honey. It's the mileage.",Movie quote from Raiders of the Lost Ark (1981),Raiders of the Lost Ark (1981)
mq_0080,The sun will come out tomorrow.,Movie quote from Annie (1982),Annie (1982)
mq_0081,"If you don't eat your meat, you can't have any pudding! How can you have any pudding if you don't eat your meat?!",Movie quote from Pink Floyd: The Wall (1982),Pink Floyd: The Wall (1982)
mq_0082,"I've seen things you people wouldn't believe. Attack ships on fire off the shoulder of Orion. I watched C-beams glitter in the dark near the Tannhäuser Gate. All those moments will be lost in time, like tears in rain.",Movie quote from Blade Runner (1982),Blade Runner (1982)
mq_0083,I changed the conditions of the test. I don’t like to lose.,Movie quote from Star Trek II: The Wrath of Khan (1982),Star Trek II: The Wrath of Khan (1982)
mq_0084,Leaping lizards!,Movie quote from Annie (1982),Annie (1982)
mq_0085,"Go ahead, make my day.",Movie quote from Sudden Impact (1983),Sudden Impact (1983)
mq_0086,Say hello to my little friend!,Movie quote from Scarface (1983),Scarface (1983)
mq_0087,It’s a trap!,Movie quote from Star Wars: Return of Jedi (1983),Star Wars: Return of Jedi (1983)
mq_0088,"I always tell tell the truth, even when i lie.",Movie quote from Scarface (1983),Scarface (1983)
mq_0089,"I am a Jedi, like my father before me.",Movie quote from Star Wars Episode 6 : Return Of The Jedi (1983),Star Wars Episode 6 : Return Of The Jedi (1983)
mq_0090,"From now on we are enemies, you and I.",Movie quote from Amadeus (1984),Amadeus (1984)
mq_0091,I'll be back.,Movie quote from The Terminator (1984),The Terminator (1984)
mq_0092,"Hasta la Vista, baby.",Movie quote from The Terminator (1984),The Terminator (1984)
mq_0093,I can’t believe I just gave my panties to a geek.,Movie quote from Sixteen Candles (1984),Sixteen Candles (1984)
mq_0094,Are you telling me that you built a time machine out of a DeLorean.,Movie quote from Back to the Future (1985),Back to the Future (1985)
mq_0095,I feel the need for speed,Movie quote from Top Gun (1986),Top Gun (1986)
mq_0096,I feel the need - the need for speed!.,Movie quote from Top Gun (1986),Top Gun (1986)
mq_0097, I feel the need!!!! The need for speed!!!!,Movie quote from Top Gun (1986),Top Gun (1986)
mq_0098,"It's only forever, not long at all...",Movie quote from Labyrinth (1986),Labyrinth (1986)
mq_0099,"Life moves pretty fast. If you don’t stop and look around once in a while, you could miss it.",Movie quote from Ferris Bueller's Day Off (1986),Ferris Bueller's Day Off (1986)
mq_0100,"I'm a mog: half man, half dog. I'm my own best friend!",Movie quote from Spaceballs (1987),Spaceballs (1987)
mq_0101,Snap out of it!,Movie quote from Moonstruck (1987),Moonstruck (1987)
mq_0102,Come on... Come on! Do it! Do it! Come on. Come on! Kill me! I'm here! Kill me! I'm here! Kill me! Come on! Kill me! I'm here! Come on! Do it now! Kill me!,Movie quote from Predator (1987),Predator (1987)
